label,key,start,mid,end,pi,xsi,pi2,fwh,theta_W,tajima,KZl,sites
real,1140,1139,1139,1140,0.00757793344116,0.751663102557,0.248505803442,0.007510898496,0.00771686050177,-0.0582463176909,0.0147631757346,649473
real,210,209,209,210,0.00762363577727,0.750291033947,0.251767381414,0.00758338725229,0.00762944902235,-0.00246552816834,0.00896695718056,7618909
real,1260,1259,1259,1260,0.00780621860259,0.737668493454,0.254068144569,0.00744731752362,0.00768024979252,0.0530624447947,0.0794133257904,489399
real,660,659,659,660,0.00758443209793,0.758991625565,0.252998871788,0.00781503669955,0.00768077303488,-0.0405857705885,-0.0510308553394,1973446
real,2220,2219,2219,2220,0.00651857456076,0.807501767617,0.251752672815,0.00839836411623,0.00750999387433,-0.426080982325,-0.424253342847,40629
real,690,689,689,690,0.00766089993071,0.745309936829,0.255908115957,0.00756931843388,0.00767727273246,-0.00690053097106,0.0202753816535,1859772
real,1770,1769,1769,1770,0.00737605472348,0.749009425558,0.251075569144,0.00716332839642,0.00755117996079,-0.0749957148104,0.0478499575705,156962
real,540,539,539,540,0.00781475634078,0.74999297011,0.254928762934,0.0078186404836,0.00773302897927,0.0341972422294,-0.000853731568332,2575528
real,2400,2399,2399,2400,0.00917259510435,0.759628785047,0.285321986895,0.0100357798419,0.00886794182413,0.110400245341,-0.164188405498,12730
real,810,809,809,810,0.00773140177058,0.758087097431,0.245638388832,0.00779620798502,0.00780943415632,-0.0323305892192,-0.0141044539722,1362519
real,930,929,929,930,0.0076862988105,0.7584971637,0.249766026647,0.00787987828718,0.00777792194695,-0.0381147055065,-0.0423006271926,1114230
real,2010,2009,2009,2010,0.00827116538516,0.725086920184,0.232745747705,0.00725087233665,0.00784584939777,0.175079719836,0.220578022852,52562
real,2460,2459,2459,2460,0.00795510907548,0.800889720483,0.252371150551,0.00964172990098,0.00839287548607,-0.166494666312,-0.336460559498,6776
real,990,989,989,990,0.00765899960162,0.748137899025,0.252988626762,0.00755625477057,0.00768475299441,-0.0108429119431,0.0227232517496,906680
real,2700,2699,2699,2700,0.00523372489457,0.87,0.0698342132074,0.00455799899821,0.00492742282614,0.163532309783,0.186049590188,622
real,120,119,119,120,0.0074925370366,0.749434609538,0.254641526694,0.00747920631298,0.00754532128458,-0.0226367096472,0.00300307873728,12275086
real,1950,1949,1949,1950,0.00787384144357,0.750853438648,0.280549173865,0.00841384786989,0.00781915538584,0.022604924964,-0.117239538177,86516
real,2550,2549,2549,2550,0.00339527638191,0.55518018018,0.292306781517,0.00171025125628,0.00544863466286,-1.07427723085,0.457452303174,1000
real,60,59,59,60,0.00730814559809,0.752238910027,0.250490620607,0.00729134874195,0.00742534706743,-0.0510745783021,0.00384506748732,24276133
real,2490,2489,2489,2490,0.00471962289506,0.857134831461,0.15376201051,0.00589618199412,0.00641698390535,-0.806436588982,-0.291831417637,1937
real,2310,2309,2309,2310,0.00748200442269,0.710149869924,0.27121294232,0.00676438906665,0.00723616233044,0.109088138316,0.167127778054,13930
real,1410,1409,1409,1410,0.00752265008069,0.750419809913,0.268942121132,0.00784205972534,0.00757119814179,-0.0207413873576,-0.0716804448458,281969
real,1380,1379,1379,1380,0.00766093493397,0.75214588544,0.250121278253,0.00762914471882,0.00765580407694,0.0021679662031,0.00705578510555,325447
real,2250,2249,2249,2250,0.00826152164663,0.734892364305,0.224518506549,0.00739371392689,0.00774976955707,0.212327144411,0.189003988303,15885
real,1320,1319,1319,1320,0.00818424200504,0.747497268101,0.257783454029,0.00814303224327,0.00798686049992,0.0799497358681,0.00876806267715,412070
real,1080,1079,1079,1080,0.00767183934415,0.755471977161,0.251683953163,0.00778146309515,0.00774485058502,-0.0305006354946,-0.0240559115667,757534
real,1920,1919,1919,1920,0.00747053310874,0.74922845555,0.255514931645,0.00736752320758,0.00771414333691,-0.10208514794,0.0226726503466,101489
real,390,389,389,390,0.00775147491189,0.750228927121,0.256601586954,0.00782870894124,0.00773180891569,0.00823025710141,-0.0169788892795,3735106
real,1710,1709,1709,1710,0.00790610672253,0.744664460814,0.251624642443,0.00779523084421,0.00770115234998,0.0860660994894,0.0244561290358,170576
real,300,299,299,300,0.00760439708591,0.7522050357,0.252833369649,0.00763399856359,0.00763224052846,-0.0118046385852,-0.00659244701818,5218655
real,420,419,419,420,0.00752528618827,0.75748777295,0.250071147112,0.00764831138901,0.00764107970763,-0.0490351020452,-0.0273665425777,3483643
real,1650,1649,1649,1650,0.00786049844733,0.739222870228,0.235749248674,0.00715599902284,0.0076287543102,0.0982362060917,0.156861950309,163267
real,2070,2069,2069,2070,0.00718024004047,0.731474444887,0.227980446648,0.00630702562374,0.00730561297439,-0.0554013093069,0.202641900526,45821
