"","label","mid","pi","xsi","pi2","fwh","theta_W","tajima","sites","B","Bsmooth"
"199","real",-1e-12,0.00673454874949,0.754236375048,0.253228947325,0.0067932733969,0.00700025047439,-0.122817786259,4919260,0.811391415601205,0.812529927361205
"70","real",-0.0842325581076,0.00665164341145,0.75770045328,0.251279474004,0.00677014545355,0.00701373866253,-0.167047650868,2092450,0.801402820656627,0.815296523527522
"129","real",0.0842325581076,0.00683049498327,0.754702883202,0.255660288668,0.00697957793327,0.00702650121984,-0.0902603764809,2023682,0.822951202803614,0.815296523527522
"82","real",0.17556024006,0.00702351213541,0.749224023281,0.252131645487,0.00701764624234,0.00708674831295,-0.0288727318087,2282062,0.846206281374699,0.8182030413354
"185","real",-0.17556024006,0.00676034565011,0.759984518309,0.25084667633,0.00697839703942,0.0070275015672,-0.123008158087,2391167,0.814499475916867,0.8182030413354
"48","real",-0.27458068629,0.00677687495327,0.754402704148,0.247163690107,0.00677566819759,0.00702509671431,-0.11432964847,2549383,0.816490958225301,0.821254569108044
"150","real",0.27458068629,0.00678117593498,0.752189054046,0.246076044676,0.00664873996536,0.00700885574332,-0.105110877684,2421093,0.817009148792771,0.821254569108044
"59","real",-0.381941878011,0.00669983909662,0.749433701068,0.247586367634,0.00655883007427,0.00690736428829,-0.0972143368891,2667305,0.807209529713253,0.824443648944148
"139","real",0.381941878011,0.00676597473444,0.75027163692,0.248552475087,0.00664244152378,0.00698311320395,-0.100614321419,2675507,0.815177678848193,0.824443648944148
"81","real",0.498346377552,0.00702010175938,0.747501556056,0.256822172866,0.0070210260855,0.0071069819502,-0.0395556196152,2706739,0.845795392696385,0.827750132022342
"117","real",-0.498346377552,0.00686390309684,0.74912737746,0.254505677648,0.00686590880393,0.00702110483398,-0.0724477883421,2837481,0.826976276727711,0.827750132022342
"84","real",0.624555925864,0.00694073133707,0.749190238376,0.24847208204,0.00683625652922,0.00709372871493,-0.069788486495,3004655,0.836232691213253,0.831167826946662
"115","real",-0.624555925864,0.00689736410147,0.754345642205,0.251620977657,0.00697890900842,0.0071158323039,-0.0993429531119,3026955,0.831007723068675,0.831167826946662
"16","real",0.761396427289,0.00692426927921,0.747929799619,0.24627738915,0.00673402105561,0.00704789940677,-0.0567596405486,3151728,0.834249310748193,0.834687832963293
"182","real",-0.761396427289,0.00692416213646,0.748394753672,0.249870714988,0.00679088856023,0.00709732348422,-0.0789462980678,3212716,0.834236401983133,0.834687832963293
"14","real",0.909763354201,0.00699916016958,0.749696433903,0.24610308334,0.00681632702994,0.00715275469562,-0.0694830544093,3436055,0.843272309587952,0.838272337234629
"184","real",-0.909763354201,0.00696404895452,0.754194390313,0.250316285676,0.00698912161948,0.00714169999282,-0.0804901330798,3442232,0.839042042713253,0.838272337234629
"31","real",-1.07062760691,0.00700967297445,0.749745356173,0.250092570785,0.00693549763709,0.00711682644603,-0.048718951312,3892281,0.844538912584337,0.841884053026709
"166","real",1.07062760691,0.00694722341114,0.750507991988,0.248027636348,0.00687440134544,0.0070690947247,-0.0557847841909,3920417,0.837014868812048,0.841884053026709
"8","real",1.24504186712,0.0070466102709,0.750338094801,0.250466618425,0.00699731439374,0.00715328253197,-0.0482529692738,3829099,0.84898918926506,0.845519035941176
"154","real",-1.24504186712,0.00690658888529,0.750773114805,0.250493447172,0.00685320105871,0.00708046243408,-0.0794602112261,3837338,0.832119142806024,0.845519035941176
"125","real",1.43414748665,0.00709820922615,0.750810302444,0.252674066194,0.00706716648376,0.00718568505828,-0.0393911191156,3969314,0.855205930861446,0.849052730165125
"148","real",-1.43414748665,0.00710830078057,0.753196039681,0.254802783261,0.00720115912382,0.00720944013082,-0.045393828047,3882619,0.856421780791566,0.849052730165125
"38","real",-1.63918195626,0.00706061176786,0.753066030456,0.250420754376,0.00705731146666,0.00722204689396,-0.0723297961701,4346002,0.850676116609639,0.852395321393776
"165","real",1.63918195626,0.00713778952685,0.753133006786,0.254804252229,0.00723584025081,0.00725354614653,-0.0516386625073,4334852,0.859974641789157,0.852395321393776
"36","real",1.86148700375,0.00702776967194,0.750394695082,0.248977371454,0.00695087463311,0.00714726883993,-0.0541009314717,4590323,0.846719237583133,0.855649085400816
"161","real",-1.86148700375,0.00707851711655,0.750113566113,0.251739625854,0.0070500896128,0.00716148255171,-0.0374864898468,4831714,0.852833387536145,0.855649085400816
