Map,Element,GC,Model,CNE_deltaAIC,EXON_deltaAIC
castaneus,CNE,High,2,0,0
castaneus,CNE,High,e,-367.653206,-283.762214
castaneus,CNE,High,s,-85.55783,-283.395557
castaneus,CNE,No,2,0,0
castaneus,CNE,No,e,-261.68403,-126.989377
castaneus,CNE,No,s,-87.254568,-153.785077
castaneus,CNE,Paigen,2,0,0
castaneus,CNE,Paigen,e,-280.094063,-134.225398
castaneus,CNE,Paigen,s,-112.551715,-160.846983
Cox,CNE,High,2,0,-3.908875
Cox,CNE,High,e,-177.86422,0
Cox,CNE,High,s,-91.869676,-1.477781
Cox,CNE,No,2,0,0
Cox,CNE,No,e,-150.07158,-19.616577
Cox,CNE,No,s,-43.721536,-38.886918
Cox,CNE,Paigen,2,0,0
Cox,CNE,Paigen,e,-146.565316,-16.219897
Cox,CNE,Paigen,s,-43.456575,-32.086368
