,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0,Autosomes,0.00670198303106,0.0354577907602,0.165423238238,-0.581971851334,211960613
1,2,Autosomes,0.0074700350667,0.0372251784312,0.173273888989,-0.551038709756,93523942
2,4,Autosomes,0.00775751982222,0.0374941238936,0.17424351032,-0.536287054076,62170533
3,6,Autosomes,0.00793726661623,0.0376388265458,0.174550107987,-0.527936981801,45682733
4,8,Autosomes,0.0080837779551,0.0376779054802,0.174423690129,-0.520427314657,35517267
5,10,Autosomes,0.00820924901653,0.0377410819151,0.174143949785,-0.513685066739,28249078
6,12,Autosomes,0.00830149436158,0.0377580998883,0.174073715631,-0.503615812806,23253528
7,14,Autosomes,0.00840251415727,0.0378334247004,0.173715212726,-0.494885652149,19421345
8,16,Autosomes,0.00846235722903,0.0377966120387,0.173658797184,-0.497874635848,16460408
9,18,Autosomes,0.00853698947089,0.0377201541877,0.173162401699,-0.490651004252,14155911
10,20,Autosomes,0.00857891615939,0.0378676109815,0.173106104783,-0.487914474211,12064658
11,22,Autosomes,0.00862812207238,0.0377268844707,0.173146982526,-0.487457653314,10601239
12,24,Autosomes,0.00870049353076,0.0378102242281,0.173082115156,-0.478535932427,9227655
13,26,Autosomes,0.0087682014458,0.0378685162755,0.172821866813,-0.46707873623,8205909
14,28,Autosomes,0.00877507742069,0.0378508221443,0.172809655158,-0.479513318642,7270377
15,30,Autosomes,0.00883501086523,0.0380309843145,0.172985000468,-0.473997182521,6433245
16,32,Autosomes,0.00892804443004,0.0380804766827,0.17306155571,-0.461770681258,5742194
17,34,Autosomes,0.00890598483748,0.0379232965695,0.172659040521,-0.464750065303,5142390
18,36,Autosomes,0.00897376898034,0.0380936561283,0.172910514468,-0.45340017244,4601936
19,38,Autosomes,0.00896829622625,0.0378605641598,0.172697658052,-0.45463521465,4207950
20,40,Autosomes,0.00899649109061,0.0380999208607,0.172838365797,-0.464818256374,3777932
21,42,Autosomes,0.00903076620595,0.0381046934926,0.172581040031,-0.462315967197,3428319
22,44,Autosomes,0.00908419809295,0.0381387557847,0.172841983638,-0.458547876324,3107090
23,46,Autosomes,0.00915700252131,0.0381435171448,0.17271061269,-0.442979293939,2822306
24,48,Autosomes,0.00905709748508,0.0379484525985,0.172468544124,-0.459362754723,2572614
25,50,Autosomes,0.00921375736729,0.0381523779801,0.173008844795,-0.434194602864,2339144
26,52,Autosomes,0.00924097060213,0.0382769557949,0.172691952186,-0.450697381148,2150088
27,54,Autosomes,0.00932441332613,0.0383423431958,0.172214591142,-0.434321187161,1966492
28,56,Autosomes,0.0092272127443,0.0382853889663,0.172313773501,-0.45125575392,1814191
29,58,Autosomes,0.00919056189311,0.0383267792101,0.1727307968,-0.465988161125,1672976
30,60,Autosomes,0.00927287734689,0.0383123542209,0.17216612089,-0.438957840287,1506496
31,62,Autosomes,0.0092377692669,0.0382398332886,0.173008366178,-0.463329879984,1386887
32,64,Autosomes,0.00931513478014,0.0378463575964,0.172707839533,-0.437722691071,1287143
33,66,Autosomes,0.0093682337615,0.0384257183106,0.173166213814,-0.439659938325,1178014
34,68,Autosomes,0.00940683822927,0.0385976921621,0.173883016575,-0.445966578478,1098393
35,70,Autosomes,0.00941777395326,0.038554133962,0.172856663747,-0.438276121591,1014690
36,72,Autosomes,0.00934120203215,0.0382349638798,0.173684893976,-0.449926950914,930286
37,74,Autosomes,0.00930176838052,0.0386913828016,0.172700307816,-0.467381473758,872520
38,76,Autosomes,0.0093803383048,0.0384573950819,0.173221155816,-0.460363811242,820288
39,78,Autosomes,0.00942278745503,0.0384149510703,0.1732923773,-0.474514766007,758791
40,80,Autosomes,0.00944494412957,0.0386415019857,0.17206066452,-0.442417735451,705415
41,82,Autosomes,0.00958568324193,0.0388016290648,0.174111032779,-0.437335638235,663361
