,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0,autosomes,0.00650240582349,0.0348674810072,0.162659393179,-0.590351392175,143649336
1,1,autosomes,0.00713311056721,0.0366565209061,0.170935355987,-0.565982659581,72368274
2,2,autosomes,0.0074008707206,0.0371520104374,0.173115765964,-0.555280193138,52134894
3,3,autosomes,0.00759912913588,0.0374009286136,0.173899978097,-0.542976072274,40981002
4,4,autosomes,0.00772579831218,0.0374893281122,0.174380489123,-0.537215337656,33280199
5,5,autosomes,0.00781707071541,0.0375290563227,0.174329885057,-0.5354704862,28503722
6,6,autosomes,0.00791921188376,0.0376707836434,0.174814265049,-0.531269442361,24173928
7,7,autosomes,0.00800089972743,0.0377026195945,0.174502392174,-0.51899508262,21087556
8,8,autosomes,0.00804295133378,0.0376768403106,0.174529435714,-0.523543248202,18446488
9,9,autosomes,0.00814452830099,0.0377064463868,0.174430533234,-0.51652706156,16649815
10,10,autosomes,0.00818590808498,0.0377771832536,0.174206798282,-0.515325683897,14614424
11,11,autosomes,0.00823487672457,0.0377157562174,0.174210184747,-0.510249541829,13300008
12,12,autosomes,0.00828440343353,0.0377876075871,0.174098466562,-0.508889572638,12080037
13,13,autosomes,0.00833129515499,0.0377581398449,0.173977549188,-0.499691419415,10965244
14,14,autosomes,0.00838876356128,0.0377870939878,0.173849662221,-0.49172676202,9982749
15,15,autosomes,0.00842849296838,0.0378304704831,0.173656888167,-0.49563173152,9260192
16,16,autosomes,0.00848950866994,0.037850027433,0.173945633315,-0.496266212482,8428398
17,17,autosomes,0.00844308045922,0.037766282885,0.173403176681,-0.502841428297,7817289
18,18,autosomes,0.00851554540701,0.0376876940985,0.173332398624,-0.490528413798,7176210
19,19,autosomes,0.00855965290441,0.0378173104211,0.172910369278,-0.488441890756,6809518
20,20,autosomes,0.00857053025274,0.0378475837859,0.173321033822,-0.48367884443,6131923
21,21,autosomes,0.00860917703712,0.0378585349436,0.172836578115,-0.489452627101,5863203
22,22,autosomes,0.00861524322531,0.0377481320641,0.173508073495,-0.486887348031,5363976
23,23,autosomes,0.008694406927,0.037803057364,0.173063380266,-0.481612064937,5116021
24,24,autosomes,0.00865514648527,0.0377598430686,0.172953069386,-0.481906314456,4682355
25,25,autosomes,0.00871656437182,0.0377686007711,0.173071218032,-0.478492574192,4470265
26,26,autosomes,0.00874347100449,0.0377748181437,0.172741872289,-0.472561093691,4161507
27,27,autosomes,0.00877998324615,0.037941917617,0.172788813524,-0.468012279447,3922491
28,28,autosomes,0.00875266272548,0.0377852783829,0.172776229154,-0.476456451458,3682762
29,29,autosomes,0.00881620120684,0.0379990530073,0.172772913778,-0.478225851721,3506998
30,30,autosomes,0.00883039507732,0.038156933337,0.173046043298,-0.475641206034,3255825
31,31,autosomes,0.00885625331107,0.0379703475687,0.173046148413,-0.468286593078,3122603
32,32,autosomes,0.00888224501027,0.0381216140078,0.173272459239,-0.466886755158,2902958
33,33,autosomes,0.00894932638218,0.0379028273433,0.172817508726,-0.463334372067,2784583
