,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0,autosomes,0.00671369884588,0.0354663538051,0.165421771773,-0.581715381992,216017610
1,2,autosomes,0.00748812573142,0.0372615510093,0.173460802564,-0.549795461408,93115896
2,4,autosomes,0.00776790640706,0.0375076562742,0.17435714275,-0.536406076501,61783921
3,6,autosomes,0.00795727066632,0.0376856160071,0.174668945752,-0.525530405941,45261484
4,8,autosomes,0.00809113981996,0.0376908853962,0.174482514388,-0.520197117006,35096303
5,10,autosomes,0.00820923950359,0.0377479153255,0.174208411783,-0.512902536218,27914432
6,12,autosomes,0.00830671512361,0.0377735863083,0.174040930074,-0.504507175674,23045281
7,14,autosomes,0.00840788236115,0.037807967546,0.173756888265,-0.493613241154,19242941
8,16,autosomes,0.00846716780243,0.0378097290882,0.173684558736,-0.499426058375,16245687
9,18,autosomes,0.00853702092816,0.0377508002556,0.173126886883,-0.489512357095,13985728
10,20,autosomes,0.00858942075394,0.0378529366785,0.173084193365,-0.486512394488,11995126
11,22,autosomes,0.00865388857609,0.0377749444497,0.173290954624,-0.484304864002,10479997
12,24,autosomes,0.00868514382249,0.0377641204377,0.173010772478,-0.480237074039,9152620
13,26,autosomes,0.00876118735465,0.0378558929525,0.172764648594,-0.470354249432,8083998
14,28,autosomes,0.00878365532149,0.0378895450694,0.172774611989,-0.477327097037,7189760
15,30,autosomes,0.0088430541523,0.0380655831997,0.173046094758,-0.472043574917,6378428
16,32,autosomes,0.00891508761269,0.0380144895085,0.173049683952,-0.465146767322,5687541
17,34,autosomes,0.00891103065494,0.0379894866548,0.172843544398,-0.464861080097,5068947
18,36,autosomes,0.00897647119247,0.038033380445,0.172762844856,-0.449747295577,4578656
19,38,autosomes,0.00896840356993,0.037869116532,0.172523344356,-0.456298880846,4142440
20,40,autosomes,0.00901341753348,0.0381167736465,0.172894179494,-0.461983008858,3741028
21,42,autosomes,0.00900897207617,0.0381294848263,0.172908751746,-0.462677733167,3391904
22,44,autosomes,0.00910060152877,0.0380747219594,0.172611457369,-0.455586939251,3060789
23,46,autosomes,0.00914913557313,0.0381124081204,0.172676068337,-0.444481870239,2807598
24,48,autosomes,0.00907180242045,0.0379951913825,0.172541012655,-0.460435189392,2540459
25,50,autosomes,0.00923826851946,0.0381985939613,0.173013144683,-0.429072548385,2317294
26,52,autosomes,0.00923500141745,0.0382896958901,0.172541571874,-0.455276967519,2109609
27,54,autosomes,0.00927298063604,0.0382045246747,0.172265225668,-0.437489713511,1960949
28,56,autosomes,0.00924952856395,0.0382996323516,0.172150399015,-0.455611879448,1783939
29,58,autosomes,0.00919715751867,0.0384153414402,0.172908345345,-0.456568382607,1657040
30,60,autosomes,0.00927482333784,0.0383401790284,0.172385405579,-0.439653915315,1488896
31,62,autosomes,0.00926350339368,0.0381864903251,0.172957700718,-0.460679791748,1378327
32,64,autosomes,0.00926825371657,0.0377329449848,0.172246468558,-0.442691153382,1270969
33,66,autosomes,0.00941553053237,0.0384970006424,0.173571708488,-0.435941231731,1168320
34,68,autosomes,0.00939854624,0.0386931813679,0.173678219366,-0.448244883605,1075201
35,70,autosomes,0.00944072036123,0.0385623671909,0.173005400063,-0.435190188793,1001895
36,72,autosomes,0.00930485280648,0.0382874797925,0.174004515161,-0.450103251257,924086
37,74,autosomes,0.00925845174806,0.038588641448,0.172216872239,-0.481901651744,859257
38,76,autosomes,0.00943540323626,0.0384483213863,0.173939902816,-0.4666961818,812579
39,78,autosomes,0.00942955970209,0.0386234645728,0.172664503359,-0.462681275611,750150
40,80,autosomes,0.00947024945516,0.0384959737909,0.172601520441,-0.449867833768,696288
41,82,autosomes,0.00954844932784,0.0387352937199,0.173433227896,-0.425235051781,654879
