,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier
0,0,435.650643808,3.46590497125e-05,38.9684169206,0.0108452369726,-24368.4279584,BimodalDFE_div10
1,1,309.640228693,0.00124932392015,73.2513546543,0.0644554071221,-10429.8791697,BimodalDFE_div10
2,2,411.658282014,3.571371482e-05,2.81353791853,8.75307936443e-07,-24391.3402089,BimodalDFE_div10
3,3,527.381684492,0.00847212469402,322.959302031,0.0469523557675,-4452.88483104,BimodalDFE_div10
4,4,407.277541172,3.33402546797e-05,0.576839007393,0.0229923079534,-24338.2389472,BimodalDFE_div10
5,5,507.32928026,2.92614419881e-05,2.71926196377,0.00357617307377,-24491.4097191,BimodalDFE_div10
6,6,347.575407015,5.23685781194e-05,0.301651667256,0.0284955704323,-24395.4374317,BimodalDFE_div10
7,7,430.321129323,3.49058414504e-05,2.80193342289,0.00114115595282,-24330.9767942,BimodalDFE_div10
8,8,815.818100532,0.0256246762637,439.582223952,0.687627671204,-1983.66076683,BimodalDFE_div10
9,9,519.032744443,0.000720158260675,162.272111634,0.0234657458267,-8230.45636366,BimodalDFE_div10
10,10,587.833186842,0.109583278166,340.440002581,0.854654254606,-2425.32356573,BimodalDFE_div10
11,11,469.731199297,3.28759683969e-05,116.475188559,3.83658438452e-11,-24353.6957742,BimodalDFE_div10
12,12,236.796753851,9.27190596592e-05,23.0199700654,0.860097866489,-13408.2396517,BimodalDFE_div10
13,13,407.662574474,4.30656546554e-05,49.1845304195,0.00115657259252,-24389.8759276,BimodalDFE_div10
14,14,514.664917061,2.81965600801e-05,242.746087172,8.91115514712e-11,-24365.0729406,BimodalDFE_div10
15,15,925.31107794,0.0493040543095,0.169958526641,0.00118072303712,-1799.07171587,BimodalDFE_div10
16,16,1448.25558172,0.381209609609,538.606407478,0.0974570397405,-2565.3857046,BimodalDFE_div10
17,17,812.382716425,0.00065781483002,434.114295163,0.0145789070266,-4704.19016885,BimodalDFE_div10
18,18,490.838037823,3.07292346188e-05,0.351164675838,0.00696288837202,-24482.1555186,BimodalDFE_div10
19,19,555.328742177,6.47514535366e-05,12.8668359652,0.00399810893007,-24222.3638694,BimodalDFE_div10
20,20,537.246800412,2.51323386332e-05,2.71992563883,0.0160403779419,-24414.7899823,BimodalDFE_div10
21,21,1004.52542891,1.55431223448e-15,428.447488007,3.36369907714e-05,-24339.7679249,BimodalDFE_div10
22,22,487.990805148,3.01665741785e-05,2.57665551046,0.0015442697748,-24428.6777704,BimodalDFE_div10
23,23,494.0559991,2.78186438035e-05,2.72476897495,0.00245233772543,-24348.8875757,BimodalDFE_div10
24,24,4595.63240665,0.816815128963,418.139871352,0.00594993526154,-3713.60375914,BimodalDFE_div10
25,25,64.6221049521,0.000898338783391,0.420653316235,0.00263138087905,-24402.5752814,BimodalDFE_div10
26,26,284.74250818,0.00291195614984,0.056663523984,0.00844903821292,-7267.56472013,BimodalDFE_div10
27,27,541.330848921,3.88331436614e-05,0.444495415974,0.00246889418088,-17975.959516,BimodalDFE_div10
28,28,437.583622972,3.40130189025e-05,0.212787388654,0.000565983260084,-24317.4643442,BimodalDFE_div10
29,29,525.095808561,2.62552894018e-05,3.56412626445,1.1247502929e-11,-24292.759418,BimodalDFE_div10
30,30,489.352762808,2.76965617712e-05,2.7163182113,0.00943155920163,-24311.6675178,BimodalDFE_div10
31,31,502.003629452,0.00376938798809,177.857996129,0.00954824228663,-6408.5908463,BimodalDFE_div10
32,32,169.992082547,0.742489109208,0.909388663817,0.2,-4209.40913239,BimodalDFE_div10
33,33,518.864513584,2.60200572599e-05,11.349014969,0.0018883090632,-24392.2102898,BimodalDFE_div10
34,34,287.466731794,0.0020137463904,49.8765217709,0.140856537167,-10477.631225,BimodalDFE_div10
35,35,562.347831783,2.45091569266e-05,2.66836964297,0.00661913324046,-24366.3329545,BimodalDFE_div10
36,36,475.045538761,3.02876839161e-05,25.2332010425,3.7314139557e-10,-24353.9515114,BimodalDFE_div10
37,37,475.394425253,2.82148474097e-05,2.65306444219,0.00433997659649,-24364.5129989,BimodalDFE_div10
38,38,448.035823665,3.42343474853e-05,2.1769399417,8.18486720178e-08,-24363.1591438,BimodalDFE_div10
39,39,786.985850575,0.647130228997,0.366583143452,0.2,-1152.55571636,BimodalDFE_div10
40,40,469.473642588,3.07682722753e-05,295.538504969,6.65388633091e-10,-24353.3296627,BimodalDFE_div10
41,41,346.534424399,5.50469855835e-05,0.723511352163,0.0177238794948,-24227.2748049,BimodalDFE_div10
42,42,464.983872663,0.807772056413,0.82896513226,0.195115326531,-2079.06722403,BimodalDFE_div10
43,43,394.087168124,0.111230016527,0.276948306233,0.00207963713728,-3395.6969986,BimodalDFE_div10
44,44,192.56823422,0.000275323557517,68.5915618946,0.000159969588052,-24285.0047785,BimodalDFE_div10
45,45,385.101953099,4.6522433608e-05,138.536409023,3.08800877743e-05,-24388.3326404,BimodalDFE_div10
46,46,318.505387383,8.07386135681e-05,0.377895397918,0.00351797621125,-24247.8530271,BimodalDFE_div10
47,47,439.721942743,3.39644814217e-05,3.21376862744,0.00175729514606,-24423.9800181,BimodalDFE_div10
48,48,1023.72579136,3.73756359295e-11,491.267209285,2.76710688638e-05,-24400.6069343,BimodalDFE_div10
49,49,456.835007122,3.2318705278e-05,1.06285217066,1.17303226877e-05,-24368.0192478,BimodalDFE_div10
50,50,466.623646453,0.000167634626865,10.3843591824,0.00163731254602,-22186.2937416,BimodalDFE_div10
51,51,442.533256151,3.36195614404e-05,7.10945377047,0.000300980965147,-24422.3392744,BimodalDFE_div10
52,52,623.567683152,0.134964217984,134.221339901,0.0552908919163,-2173.85000332,BimodalDFE_div10
53,53,490.001076479,2.79678874963e-05,2.72317836447,0.00338775198395,-24361.1564729,BimodalDFE_div10
54,54,359.10706142,8.43887217791e-05,58.0704701894,0.00139516208297,-23698.9940177,BimodalDFE_div10
