,rep,NeSa,pa,AIC,identifier
0,0,237.003290899,0.000649426150541,-25882.8372994,Exp.Nes100_dDFE.Exponential
1,1,234.917283418,0.000653510560577,-25819.1571189,Exp.Nes100_dDFE.Exponential
2,2,237.154602822,0.000645597696382,-25836.0104593,Exp.Nes100_dDFE.Exponential
3,3,234.824823484,0.000658063970189,-25784.7144178,Exp.Nes100_dDFE.Exponential
4,4,232.7177866,0.000659548420682,-25850.708203,Exp.Nes100_dDFE.Exponential
5,5,235.571705559,0.000656893629586,-25850.0787194,Exp.Nes100_dDFE.Exponential
6,6,239.364323501,0.000636838065013,-25751.4492015,Exp.Nes100_dDFE.Exponential
7,7,241.019952071,0.000629216539723,-25836.4477232,Exp.Nes100_dDFE.Exponential
8,8,237.029176552,0.000646812953765,-25856.9302869,Exp.Nes100_dDFE.Exponential
9,9,235.266854027,0.000657102070414,-25809.635438,Exp.Nes100_dDFE.Exponential
10,10,234.948359599,0.000656540995304,-25845.6999802,Exp.Nes100_dDFE.Exponential
11,11,237.685502435,0.000648009809508,-25806.3855583,Exp.Nes100_dDFE.Exponential
12,12,237.633663869,0.000648027242165,-25782.1959531,Exp.Nes100_dDFE.Exponential
13,13,234.63609764,0.000660519334643,-25916.7015038,Exp.Nes100_dDFE.Exponential
14,14,240.34578176,0.000631156269614,-25774.2847504,Exp.Nes100_dDFE.Exponential
15,15,237.069520523,0.000647992928415,-25810.397506,Exp.Nes100_dDFE.Exponential
16,16,232.555610878,0.000671532057058,-25815.6810802,Exp.Nes100_dDFE.Exponential
17,17,233.012672265,0.000668204788858,-25833.2359261,Exp.Nes100_dDFE.Exponential
18,18,621.240587901,1.77620349492e-05,-22254.9740636,Exp.Nes100_dDFE.Exponential
19,19,237.896018447,0.000641459300202,-25773.3948859,Exp.Nes100_dDFE.Exponential
20,20,239.799517689,0.000640314423553,-25818.2444587,Exp.Nes100_dDFE.Exponential
21,21,232.292382898,0.000661760368749,-25867.4029168,Exp.Nes100_dDFE.Exponential
22,22,237.478759638,0.000646497240805,-25804.3935644,Exp.Nes100_dDFE.Exponential
23,23,237.731683674,0.000642722180096,-25828.28494,Exp.Nes100_dDFE.Exponential
24,24,235.986003144,0.000650239803971,-25775.5656618,Exp.Nes100_dDFE.Exponential
25,25,232.806903564,0.000663758397692,-25759.2090467,Exp.Nes100_dDFE.Exponential
26,26,230.324140591,0.000673314127572,-25789.1392824,Exp.Nes100_dDFE.Exponential
27,27,231.298895873,0.000672696010058,-25820.752828,Exp.Nes100_dDFE.Exponential
28,28,233.865030334,0.000657607949698,-25808.2877744,Exp.Nes100_dDFE.Exponential
29,29,240.650549087,0.00063343546969,-25796.2178923,Exp.Nes100_dDFE.Exponential
30,30,238.269062477,0.000640262179454,-25837.1161712,Exp.Nes100_dDFE.Exponential
31,31,236.702317076,0.000652673463682,-25788.9382854,Exp.Nes100_dDFE.Exponential
32,32,236.111183265,0.000647560546537,-25816.7886072,Exp.Nes100_dDFE.Exponential
33,33,232.009061081,0.000666965081539,-25820.2901009,Exp.Nes100_dDFE.Exponential
34,34,231.493542011,0.000673533018345,-25814.7917843,Exp.Nes100_dDFE.Exponential
35,35,230.232267806,0.000669606189858,-25827.5741864,Exp.Nes100_dDFE.Exponential
36,36,1875.55156823,1.29476986848e-05,-22165.7898019,Exp.Nes100_dDFE.Exponential
37,37,234.616551016,0.000662095691292,-25796.1985389,Exp.Nes100_dDFE.Exponential
38,38,232.043089868,0.000669999548752,-25821.0449864,Exp.Nes100_dDFE.Exponential
39,39,233.460929631,0.000664495226544,-25851.6108383,Exp.Nes100_dDFE.Exponential
40,40,234.973897389,0.000651190214196,-25766.7347303,Exp.Nes100_dDFE.Exponential
41,41,237.656732634,0.000645731938693,-25820.0381982,Exp.Nes100_dDFE.Exponential
42,42,240.423318026,0.000631899387542,-25857.0211332,Exp.Nes100_dDFE.Exponential
43,43,239.193772964,0.000636940613537,-25858.7336539,Exp.Nes100_dDFE.Exponential
44,44,235.442844136,0.000649059125209,-25881.758317,Exp.Nes100_dDFE.Exponential
45,45,236.405153512,0.000648120434741,-25819.1251165,Exp.Nes100_dDFE.Exponential
46,46,239.812645451,0.000641724175648,-25861.5078034,Exp.Nes100_dDFE.Exponential
47,47,235.139675868,0.000651523515906,-25811.0481657,Exp.Nes100_dDFE.Exponential
48,48,235.317221736,0.000650926057911,-25815.6386836,Exp.Nes100_dDFE.Exponential
49,49,235.940990048,0.000647887662762,-25860.2526703,Exp.Nes100_dDFE.Exponential
50,50,232.080236902,0.000660734742308,-25868.0584258,Exp.Nes100_dDFE.Exponential
51,51,236.248830811,0.000645986270641,-25783.4732133,Exp.Nes100_dDFE.Exponential
52,52,229.74729791,0.000677179731789,-25767.7123838,Exp.Nes100_dDFE.Exponential
53,53,1092.88252466,1.28588294546e-05,-22198.5467483,Exp.Nes100_dDFE.Exponential
54,54,234.304509296,0.000665037412764,-25876.1089659,Exp.Nes100_dDFE.Exponential
55,55,229.613326184,0.000672739718453,-25886.6888038,Exp.Nes100_dDFE.Exponential
56,56,236.599294944,0.000652090577843,-25897.3308932,Exp.Nes100_dDFE.Exponential
57,57,228.775154387,0.000673662951856,-25954.542139,Exp.Nes100_dDFE.Exponential
58,58,233.925983535,0.000660630005331,-25851.6750581,Exp.Nes100_dDFE.Exponential
59,59,236.089881528,0.000647261937551,-25740.611152,Exp.Nes100_dDFE.Exponential
60,60,237.416890565,0.000643407074718,-25822.3151186,Exp.Nes100_dDFE.Exponential
61,61,233.019310007,0.000661009696473,-25786.4261855,Exp.Nes100_dDFE.Exponential
62,62,235.836267877,0.000641755855421,-25769.9037771,Exp.Nes100_dDFE.Exponential
63,63,234.062724719,0.000659215785363,-25810.8412742,Exp.Nes100_dDFE.Exponential
64,64,235.89371034,0.000652035747597,-25914.2370159,Exp.Nes100_dDFE.Exponential
65,65,237.250183584,0.000649823463539,-25851.915113,Exp.Nes100_dDFE.Exponential
66,66,234.246061944,0.000661940882971,-25856.223402,Exp.Nes100_dDFE.Exponential
67,67,235.208249204,0.000655455454674,-25782.2339311,Exp.Nes100_dDFE.Exponential
68,68,234.113505584,0.000654488914789,-25831.7569596,Exp.Nes100_dDFE.Exponential
69,69,240.3276142,0.000635796223924,-25832.082312,Exp.Nes100_dDFE.Exponential
70,70,239.062340165,0.00063656075484,-25764.1045239,Exp.Nes100_dDFE.Exponential
71,71,237.509409884,0.000650362159546,-25798.3401433,Exp.Nes100_dDFE.Exponential
72,72,234.892092151,0.000654913880762,-25830.7967156,Exp.Nes100_dDFE.Exponential
73,73,235.76921256,0.000646270375651,-25845.3414857,Exp.Nes100_dDFE.Exponential
74,74,237.211655672,0.000647325778221,-25818.6701554,Exp.Nes100_dDFE.Exponential
75,75,236.279158812,0.000648843076857,-25854.4195678,Exp.Nes100_dDFE.Exponential
76,76,231.696779373,0.000672478044212,-25925.8726053,Exp.Nes100_dDFE.Exponential
77,77,240.825339994,0.000628999666329,-25818.8552038,Exp.Nes100_dDFE.Exponential
78,78,235.752241577,0.000654498910402,-25845.1817344,Exp.Nes100_dDFE.Exponential
79,79,237.591657354,0.000649311217954,-25860.1330959,Exp.Nes100_dDFE.Exponential
80,80,228.997196809,0.000673143156544,-25820.4325511,Exp.Nes100_dDFE.Exponential
81,81,241.29484219,0.000629243129059,-25809.681988,Exp.Nes100_dDFE.Exponential
82,82,236.487460413,0.000650158474548,-25874.6028492,Exp.Nes100_dDFE.Exponential
83,83,235.978878418,0.000648279571757,-25889.1877833,Exp.Nes100_dDFE.Exponential
84,84,239.159560881,0.000636892903918,-25890.1682102,Exp.Nes100_dDFE.Exponential
85,85,231.083695654,0.000674168100614,-25879.6614853,Exp.Nes100_dDFE.Exponential
86,86,227.461163251,0.000687566471426,-25850.0757069,Exp.Nes100_dDFE.Exponential
87,87,239.330727495,0.00063454769811,-25816.8351104,Exp.Nes100_dDFE.Exponential
88,88,236.683837535,0.000645398150741,-25768.9560538,Exp.Nes100_dDFE.Exponential
89,89,243.304909987,0.000626982677007,-25836.3522035,Exp.Nes100_dDFE.Exponential
90,90,238.845703189,0.000642378793816,-25776.366203,Exp.Nes100_dDFE.Exponential
91,91,235.873988395,0.000648958494456,-25993.9693571,Exp.Nes100_dDFE.Exponential
92,92,232.575444664,0.000666670607125,-25900.7291387,Exp.Nes100_dDFE.Exponential
