,rep,NeSa,pa,AIC,identifier
0,0,11.6798387735,4.88808721277e-09,-23943.4146756,Exp.Nes100_dDFE.Exponential_div10
1,1,820912.919558,1.18805164012e-06,-23808.2883251,Exp.Nes100_dDFE.Exponential_div10
2,2,637145.387789,3.77360681592e-09,-23781.5404867,Exp.Nes100_dDFE.Exponential_div10
3,3,0.0163480130544,0.110608326335,-23831.401605,Exp.Nes100_dDFE.Exponential_div10
4,4,0.0370538459915,0.0957384067776,-23913.9041451,Exp.Nes100_dDFE.Exponential_div10
5,5,966437.738449,4.42656694633e-09,-23876.1108021,Exp.Nes100_dDFE.Exponential_div10
6,6,977453.092381,7.83247411373e-10,-23889.3940579,Exp.Nes100_dDFE.Exponential_div10
7,7,305.414918464,1.14674936214e-12,-23916.0869921,Exp.Nes100_dDFE.Exponential_div10
8,8,138.720415965,2.48318032803e-12,-23847.4852529,Exp.Nes100_dDFE.Exponential_div10
9,9,914775.109832,2.91870126956e-08,-23912.1186713,Exp.Nes100_dDFE.Exponential_div10
10,10,91.780244303,1.18614007505e-11,-23863.0877208,Exp.Nes100_dDFE.Exponential_div10
11,11,67.9268960722,8.88961126932e-12,-23907.9383669,Exp.Nes100_dDFE.Exponential_div10
12,12,141.722812079,2.99471003551e-11,-23910.786394,Exp.Nes100_dDFE.Exponential_div10
13,13,179.760928703,4.60109728095e-12,-23897.5245781,Exp.Nes100_dDFE.Exponential_div10
14,14,603578.083931,4.48713843859e-11,-23869.1485752,Exp.Nes100_dDFE.Exponential_div10
15,15,70.8240741552,1.45697898191e-11,-23850.0788969,Exp.Nes100_dDFE.Exponential_div10
16,16,987808.219759,1.62654889557e-11,-23891.4433793,Exp.Nes100_dDFE.Exponential_div10
17,17,208.218146146,5.55111512313e-17,-23908.3176315,Exp.Nes100_dDFE.Exponential_div10
18,18,0.310286277894,0.00287899093269,-23884.9802482,Exp.Nes100_dDFE.Exponential_div10
19,19,678628.44364,9.56345661551e-08,-23981.0776419,Exp.Nes100_dDFE.Exponential_div10
20,20,787688.220023,1.05037871623e-07,-23852.617769,Exp.Nes100_dDFE.Exponential_div10
21,21,932912.123672,3.33754357484e-09,-23885.3145706,Exp.Nes100_dDFE.Exponential_div10
22,22,130.274446995,2.18227103055e-10,-23840.581355,Exp.Nes100_dDFE.Exponential_div10
23,23,291.511920794,0.0,-23868.3663019,Exp.Nes100_dDFE.Exponential_div10
24,24,310.795518284,2.35744757049e-12,-23893.3791892,Exp.Nes100_dDFE.Exponential_div10
25,25,891231.186324,9.83504220842e-08,-23883.3134984,Exp.Nes100_dDFE.Exponential_div10
26,26,384.569366951,2.42529885064e-11,-23796.0941693,Exp.Nes100_dDFE.Exponential_div10
27,27,864701.426935,4.92137763874e-09,-23870.7889756,Exp.Nes100_dDFE.Exponential_div10
28,28,408.703988225,0.0,-23901.7200177,Exp.Nes100_dDFE.Exponential_div10
29,29,363.690338294,9.41599020976e-11,-23900.6925501,Exp.Nes100_dDFE.Exponential_div10
30,30,930124.947663,3.11291738497e-08,-23900.7450794,Exp.Nes100_dDFE.Exponential_div10
