,Unnamed: 0,rep,NeSa,pa,AIC,identifier,product
0,0,0,0.5220138358649999,1.3812188059999999e-05,-23084.311439200002,Exp.Nes10_dDFE.Exponential,1.4420306541778705e-07
1,1,1,48559.6486489,2.91519919315e-06,-23237.438344799997,Exp.Nes10_dDFE.Exponential,0.0028312209712184158
2,2,2,2.416613824505,4.2320202897599996e-08,-23273.8729137,Exp.Nes10_dDFE.Exponential,2.0454317475639343e-09
3,3,3,36519.916875250005,9.44164929573e-06,-23159.6198855,Exp.Nes10_dDFE.Exponential,0.006896164948906447
4,4,4,6.4621916032,3.4858227415699992e-09,-23233.2589252,Exp.Nes10_dDFE.Exponential,4.505210890163451e-10
5,5,5,49625.699084650005,7.096553067410001e-05,-23114.0882735,Exp.Nes10_dDFE.Exponential,0.07043428141230773
6,6,6,21.497298248,3.6267655545399995e-09,-23217.0914177,Exp.Nes10_dDFE.Exponential,1.5593132160303897e-09
7,7,7,43258.35860905,8.59301402256e-06,-23149.188034,Exp.Nes10_dDFE.Exponential,0.007434393642409915
8,8,8,21555.822506,2.08571437899e-07,-23215.764101900004,Exp.Nes10_dDFE.Exponential,8.991857790344091e-05
9,9,9,28059.4905927,0.000173195701891,-23178.696284999998,Exp.Nes10_dDFE.Exponential,0.09719566335813176
10,10,10,0.01115194693535,0.437881474278,-23226.860001900004,Exp.Nes10_dDFE.Exponential,9.766461930242165e-05
11,11,11,29378.0924665,3.1383229348600003e-08,-23198.3840431,Exp.Nes10_dDFE.Exponential,1.843958827401095e-05
12,12,12,0.0017797705864650002,27.386579078900002,-23192.729784,Exp.Nes10_dDFE.Exponential,0.0009748365581704792
13,13,13,14.859111879950001,3.07254222065e-10,-23203.070429900003,Exp.Nes10_dDFE.Exponential,9.131049722501674e-11
14,14,14,29.454185129000003,6.78812561716e-09,-23201.9045945,Exp.Nes10_dDFE.Exponential,3.99877417213476e-09
15,15,15,42070.8812686,4.39731717705e-06,-23149.7594069,Exp.Nes10_dDFE.Exponential,0.003699980177120917
16,16,16,809.7446917,1.1352030426799999e-10,-23143.3187134,Exp.Nes10_dDFE.Exponential,1.838449275623637e-09
17,17,17,0.51635925459,3.35622529768e-07,-23256.3702818,Exp.Nes10_dDFE.Exponential,3.466035985892291e-09
18,18,18,6.5855267159999995,8.378076010730002e-09,-23157.2636005,Exp.Nes10_dDFE.Exponential,1.1034808679468225e-09
19,19,19,13.731457995649999,2.69756439408e-09,-23182.8110499,Exp.Nes10_dDFE.Exponential,7.408298433574113e-10
20,20,20,31.7837389065,9.749645535350001e-09,-23142.2566879,Exp.Nes10_dDFE.Exponential,6.197603762529757e-09
21,21,21,2079.92015349,2.92277313463e-09,-23096.210786099997,Exp.Nes10_dDFE.Exponential,1.2158269493592155e-07
22,22,22,15.8496330678,3.5311198409699994e-09,-23176.8863725,Exp.Nes10_dDFE.Exponential,1.1193390759560557e-09
23,23,23,48419.96393195,4.53160314828e-06,-23218.4457113,Exp.Nes10_dDFE.Exponential,0.004388401219872573
24,24,24,47209.5987938,1.3582656111e-06,-23085.8792568,Exp.Nes10_dDFE.Exponential,0.0012824634911089315
25,25,25,10.075563619399999,1.83720816338e-08,-23144.6581286,Exp.Nes10_dDFE.Exponential,3.702181546443243e-09
26,26,26,10.5216596183,2.76030864832e-08,-23122.594241599996,Exp.Nes10_dDFE.Exponential,5.80860560781456e-09
