,rep,NeSa,pa,AIC,identifier
0,0,795.546529402,3.88578058619e-16,-23179.9620668,Nes10_dDFE.Exponential_div10
1,1,398.837316619,2.54551935086e-12,-23209.7198831,Nes10_dDFE.Exponential_div10
2,2,21.2733808817,7.31409377508e-12,-23137.2729364,Nes10_dDFE.Exponential_div10
3,3,791.113571816,1.37589939442e-12,-23124.3682259,Nes10_dDFE.Exponential_div10
4,4,288.082770501,1.33369426614e-11,-23196.8239231,Nes10_dDFE.Exponential_div10
5,5,22.1928099692,4.83364687165e-09,-23148.0980776,Nes10_dDFE.Exponential_div10
6,6,409.634604515,7.02238267536e-12,-23191.4944133,Nes10_dDFE.Exponential_div10
7,7,1115.55914593,5.38569189246e-13,-23160.1672837,Nes10_dDFE.Exponential_div10
8,8,894.833076246,1.72202807569e-11,-23145.6904277,Nes10_dDFE.Exponential_div10
9,9,189.93417827,8.6093132623e-11,-23181.089257,Nes10_dDFE.Exponential_div10
10,10,950.339428377,3.42448291946e-13,-23194.174993,Nes10_dDFE.Exponential_div10
11,11,504.079450168,1.30376265339e-11,-23276.8347671,Nes10_dDFE.Exponential_div10
12,12,23.5272191025,0.0,-23113.9328944,Nes10_dDFE.Exponential_div10
13,13,188.437948833,1.12860831791e-11,-23196.6731314,Nes10_dDFE.Exponential_div10
14,14,2060.57833021,1.28841382008e-13,-23098.723119,Nes10_dDFE.Exponential_div10
15,15,99.3794928998,2.90760526767e-10,-23189.7649829,Nes10_dDFE.Exponential_div10
16,16,6.33033551989,5.55111512313e-17,-23167.137204,Nes10_dDFE.Exponential_div10
17,17,34.4074562201,7.25313697991e-11,-23203.3464655,Nes10_dDFE.Exponential_div10
18,18,782.460721369,8.03684896411e-12,-23172.3879475,Nes10_dDFE.Exponential_div10
19,19,130.610302843,1.73460690256e-11,-23234.2383645,Nes10_dDFE.Exponential_div10
20,20,837.264607838,1.99962268965e-12,-23116.7048889,Nes10_dDFE.Exponential_div10
21,21,589.586860327,1.6964096794e-11,-23204.1721242,Nes10_dDFE.Exponential_div10
22,22,414.349571508,2.29591901046e-11,-23186.3320185,Nes10_dDFE.Exponential_div10
23,23,837.145762078,2.06445971429e-13,-23154.7606532,Nes10_dDFE.Exponential_div10
24,24,925.362070462,2.49633647087e-13,-23177.2110866,Nes10_dDFE.Exponential_div10
25,25,420.285437251,1.33903999e-12,-23241.5135818,Nes10_dDFE.Exponential_div10
26,26,1170.36241573,1.06498143637e-12,-23131.9322558,Nes10_dDFE.Exponential_div10
27,27,99.6390268685,0.0,-23192.586273,Nes10_dDFE.Exponential_div10
28,28,342.906342699,3.30552252237e-12,-23127.221303,Nes10_dDFE.Exponential_div10
29,29,1495.04627701,8.48210390814e-14,-23207.4153507,Nes10_dDFE.Exponential_div10
30,30,528.37633588,1.91618387824e-11,-23101.783457,Nes10_dDFE.Exponential_div10
31,31,282.280028298,5.35712030292e-11,-23158.1728318,Nes10_dDFE.Exponential_div10
32,32,495.208433434,3.22464277502e-13,-23247.8282117,Nes10_dDFE.Exponential_div10
33,33,777.194739107,2.81441536742e-13,-23183.7269856,Nes10_dDFE.Exponential_div10
34,34,648.563877989,4.85833595576e-13,-23233.9691074,Nes10_dDFE.Exponential_div10
35,35,37.6471434806,4.08838518595e-11,-23142.7379745,Nes10_dDFE.Exponential_div10
36,36,62.4278696071,3.90589227628e-11,-23166.6960518,Nes10_dDFE.Exponential_div10
37,37,506.121306677,1.98019378672e-12,-23104.9501354,Nes10_dDFE.Exponential_div10
38,38,1154.25842886,1.28062560556e-11,-23237.689162,Nes10_dDFE.Exponential_div10
39,39,372.162855987,7.9214412807e-14,-23185.9630806,Nes10_dDFE.Exponential_div10
40,40,1248.65112327,3.92730292731e-12,-23191.9243754,Nes10_dDFE.Exponential_div10
41,41,744.735114332,3.28914673275e-12,-23164.7026994,Nes10_dDFE.Exponential_div10
42,42,399.281304801,2.02496353019e-11,-23145.8197941,Nes10_dDFE.Exponential_div10
43,43,792.564035736,9.86932757741e-13,-23179.2551288,Nes10_dDFE.Exponential_div10
44,44,401.423627581,2.54529730626e-12,-23142.8441341,Nes10_dDFE.Exponential_div10
45,45,967.575507042,4.75786077203e-13,-23153.3550213,Nes10_dDFE.Exponential_div10
46,46,83.870873095,1.9822032904e-11,-23152.944646,Nes10_dDFE.Exponential_div10
47,47,2.09809477542,2.71152616416e-07,-23173.2514166,Nes10_dDFE.Exponential_div10
48,48,273.748550543,3.37369021608e-12,-23191.4976231,Nes10_dDFE.Exponential_div10
49,49,0.996373621887,0.00239358250361,-23123.1057602,Nes10_dDFE.Exponential_div10
50,50,610.442852257,1.8720136552e-11,-23150.2056991,Nes10_dDFE.Exponential_div10
51,51,796.855321694,8.90892914995e-12,-23188.4042608,Nes10_dDFE.Exponential_div10
52,52,837.98950746,2.27634577854e-12,-23167.0411331,Nes10_dDFE.Exponential_div10
53,53,887.825332733,3.87567755666e-12,-23184.6411792,Nes10_dDFE.Exponential_div10
54,54,1511.38840804,2.02865502175e-12,-23108.2566712,Nes10_dDFE.Exponential_div10
55,55,1261.82234819,0.0,-23113.0529652,Nes10_dDFE.Exponential_div10
56,56,881.370714419,8.11153921809e-11,-23111.4641142,Nes10_dDFE.Exponential_div10
57,57,324.214072698,2.63679078571e-11,-23169.3471715,Nes10_dDFE.Exponential_div10
58,58,150.143658293,1.4868939413e-10,-23091.2340412,Nes10_dDFE.Exponential_div10
59,59,1.9320982223,2.602140875e-08,-23194.509589,Nes10_dDFE.Exponential_div10
60,60,498.020337052,4.83224571468e-13,-23074.2523585,Nes10_dDFE.Exponential_div10
61,61,32.3091752152,1.86690751747e-09,-23191.5194077,Nes10_dDFE.Exponential_div10
62,62,581.290088259,2.15349960087e-12,-23174.7222033,Nes10_dDFE.Exponential_div10
63,63,254.392057429,3.09463565884e-12,-23197.3841709,Nes10_dDFE.Exponential_div10
64,64,527.799232939,2.95215518697e-11,-23269.2354211,Nes10_dDFE.Exponential_div10
65,65,134.563143913,1.03607844526e-10,-23136.8728026,Nes10_dDFE.Exponential_div10
66,66,877.170146795,7.63833440942e-13,-23118.2321223,Nes10_dDFE.Exponential_div10
67,67,705.458226331,1.76347825231e-12,-23045.3764443,Nes10_dDFE.Exponential_div10
68,68,232.877805346,9.65597601876e-11,-23066.7965737,Nes10_dDFE.Exponential_div10
69,69,461.105982341,5.63543656185e-12,-23108.9611661,Nes10_dDFE.Exponential_div10
70,70,239.505745979,6.33038066411e-12,-23119.1917268,Nes10_dDFE.Exponential_div10
71,71,450.246796291,3.5459968295e-12,-23140.8982679,Nes10_dDFE.Exponential_div10
72,72,831.083657643,6.09590156131e-12,-23119.8111739,Nes10_dDFE.Exponential_div10
73,73,932.171998989,3.93352017625e-13,-23189.6042967,Nes10_dDFE.Exponential_div10
74,74,113.407065304,1.74115610818e-10,-23198.2059622,Nes10_dDFE.Exponential_div10
75,75,1521.24515412,9.13286113402e-12,-23221.4703715,Nes10_dDFE.Exponential_div10
