,Unnamed: 0,rep,NeSa,pa,AIC,identifier,product
0,0,0,39.77732647009999,3.88578058619e-12,-23179.9620668,Nes10_dDFE.Exponential_div10,3.0913192593611235e-13
1,1,1,19.94186583095,2.5455193508599997e-08,-23209.7198831,Nes10_dDFE.Exponential_div10,1.0152481072987413e-09
2,2,2,1.063669044085,7.314093775079999e-08,-23137.2729364,Nes10_dDFE.Exponential_div10,1.5559550268174785e-10
3,3,3,39.55567859080001,1.37589939442e-08,-23124.3682259,Nes10_dDFE.Exponential_div10,1.0884926843790778e-09
4,4,4,14.404138525049998,1.33369426614e-07,-23196.823923099997,Nes10_dDFE.Exponential_div10,3.842143391909092e-09
5,5,5,1.1096404984600001,4.833646871649999e-05,-23148.0980776,Nes10_dDFE.Exponential_div10,1.0727220648074652e-07
6,6,6,20.48173022575,7.02238267536e-08,-23191.4944133,Nes10_dDFE.Exponential_div10,2.8766109499740815e-09
7,7,7,55.777957296500006,5.385691892460001e-09,-23160.1672837,Nes10_dDFE.Exponential_div10,6.008057847794804e-10
8,8,8,44.7416538123,1.7220280756899998e-07,-23145.6904277,Nes10_dDFE.Exponential_div10,1.5409276803516624e-08
9,9,9,9.4967089135,8.609313262299998e-07,-23181.089257,Nes10_dDFE.Exponential_div10,1.6352028399439634e-08
10,10,10,47.51697141885,3.42448291946e-09,-23194.174993,Nes10_dDFE.Exponential_div10,3.2544211401664167e-10
11,11,11,25.203972508400003,1.3037626533899999e-07,-23276.834767099997,Nes10_dDFE.Exponential_div10,6.57199961470404e-09
12,12,12,1.1763609551249998,0.0,-23113.9328944,Nes10_dDFE.Exponential_div10,0.0
13,13,13,9.42189744165,1.12860831791e-07,-23196.673131400003,Nes10_dDFE.Exponential_div10,2.126726364628228e-09
14,14,14,103.0289165105,1.2884138200800001e-09,-23098.723119,Nes10_dDFE.Exponential_div10,2.654877597999934e-10
15,15,15,4.96897464499,2.90760526767e-06,-23189.764982900004,Nes10_dDFE.Exponential_div10,2.8895633705383186e-08
16,16,16,0.31651677599449995,5.551115123129999e-13,-23167.137204,Nes10_dDFE.Exponential_div10,3.514042123894838e-16
