,rep,NeSa,pa,AIC,identifier
0,0,519.515339362,0.000584957093717,-27313.8514742,Nes200_dDFE.Exponential
1,1,515.918844839,0.00058980880826,-27390.897348,Nes200_dDFE.Exponential
2,2,515.175342831,0.000587605300986,-27382.1837091,Nes200_dDFE.Exponential
3,3,519.373231049,0.000585848887974,-27458.4680137,Nes200_dDFE.Exponential
4,4,516.720756719,0.000584795927944,-27431.357308,Nes200_dDFE.Exponential
5,5,518.333064523,0.000584971572656,-27340.6762019,Nes200_dDFE.Exponential
6,6,519.137001479,0.000587126875281,-27362.4785565,Nes200_dDFE.Exponential
7,7,520.371328458,0.000581605822803,-27467.7514029,Nes200_dDFE.Exponential
8,8,517.757815015,0.00058921002031,-27444.4325728,Nes200_dDFE.Exponential
9,9,517.062696222,0.000586513035147,-27312.5302348,Nes200_dDFE.Exponential
10,10,514.608439421,0.000589181832139,-27510.0977502,Nes200_dDFE.Exponential
11,11,516.47992687,0.000590722524789,-27484.0316965,Nes200_dDFE.Exponential
12,12,517.488705643,0.000588242139348,-27469.6618227,Nes200_dDFE.Exponential
13,13,521.333080253,0.000582270316946,-27343.523049,Nes200_dDFE.Exponential
14,14,520.097773377,0.000582270184896,-27386.3615384,Nes200_dDFE.Exponential
15,15,519.461794524,0.000583751292992,-27322.3821644,Nes200_dDFE.Exponential
16,16,520.539344339,0.00058008666233,-27410.530559,Nes200_dDFE.Exponential
17,17,523.280887874,0.000576094364994,-27393.207734,Nes200_dDFE.Exponential
18,18,519.006192414,0.000586224120079,-27412.4261199,Nes200_dDFE.Exponential
19,19,518.308703946,0.000583874728717,-27479.887787,Nes200_dDFE.Exponential
20,20,524.933443263,0.000575756343234,-27506.0516575,Nes200_dDFE.Exponential
21,21,522.973385964,0.000579360744004,-27435.4114308,Nes200_dDFE.Exponential
22,22,519.155784223,0.000584662246711,-27434.3060031,Nes200_dDFE.Exponential
23,23,517.818129916,0.000586964930657,-27352.5776727,Nes200_dDFE.Exponential
