,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier
0,0,525.136534255,6.76554139233e-05,16.6148147916,0.157687154158,-21251.7181487,BimodalDFE_div100
1,1,0.0756213627273,0.0311687074598,540.261290643,0.0176438214373,-3433.82830079,BimodalDFE_div100
2,2,54.9734601138,0.00468447161905,463.400983829,0.0046077105311,-6100.69243021,BimodalDFE_div100
3,3,532.110952988,4.51191949152e-05,1.05440432158,0.0313347985123,-23864.9077765,BimodalDFE_div100
4,4,749.407287858,0.00555605534688,477.032195217,0.0188111676615,-3177.30490188,BimodalDFE_div100
5,5,268.553975408,0.611354546649,632.191524064,0.0103299341871,-3183.31996248,BimodalDFE_div100
6,6,330.053519232,0.997235449694,513.998652168,0.0539850552155,-2260.8174417,BimodalDFE_div100
7,7,509.472627836,5.09126570429e-05,42.6436979967,2.42685267121e-05,-23761.2975863,BimodalDFE_div100
8,8,719.741361226,6.86051756278e-05,80.382183445,0.000294077824293,-22968.0605734,BimodalDFE_div100
9,9,650.988317864,0.277783657502,213.586150719,0.129978557034,-1459.14866916,BimodalDFE_div100
10,10,599.236832567,3.95402576064e-05,89.7871571598,0.000380480318536,-23838.5979279,BimodalDFE_div100
11,11,346.757480473,0.000119960589049,0.193045130104,0.105713489265,-23649.5641857,BimodalDFE_div100
12,12,446.009711086,0.000192363215826,1082.68614554,0.000686484257597,-7102.05657838,BimodalDFE_div100
13,13,183.414128262,0.025558875234,441.107495499,0.00722064512393,-4839.30710388,BimodalDFE_div100
14,14,927.077354486,0.403951388806,594.065993997,0.00914033546625,-3548.296072,BimodalDFE_div100
15,15,330.874382637,0.000124954328714,16.1494495657,0.000687753216587,-23814.9021446,BimodalDFE_div100
16,16,384.177500614,9.3029946661e-05,38.1599924878,0.000375966397107,-23739.5244073,BimodalDFE_div100
17,17,103.288973888,0.000330055264088,618.874009258,3.51165550746e-05,-23887.702396,BimodalDFE_div100
18,18,11.5267673755,0.00340962321578,331.666699911,0.000122505863132,-23827.6968085,BimodalDFE_div100
19,19,64.8538783249,0.79772859892,1012.48286712,0.000131239241186,-6824.22629587,BimodalDFE_div100
20,20,373.714388181,0.16285811605,672.419293464,0.00811061805868,-2686.36340897,BimodalDFE_div100
21,21,406.922931101,8.41073270642e-05,102.59323594,0.000595471345572,-23741.8795919,BimodalDFE_div100
22,22,649.557912085,2.08555218164e-05,138.387155541,0.000286043108132,-23902.8155149,BimodalDFE_div100
23,23,698.876713835,0.754797240254,624.239963962,0.000141368546318,-4380.42198089,BimodalDFE_div100
24,24,482.99665399,0.472187580869,0.535782414768,0.2,-1885.87517686,BimodalDFE_div100
25,25,3.11083925975,0.311104498465,361.574095333,0.00018150358476,-22561.8258043,BimodalDFE_div100
26,26,155.997317745,0.634385109911,0.107446801401,0.2,-3972.25415525,BimodalDFE_div100
27,27,0.0254566693836,0.935118271881,708.618046309,0.012251925159,-2329.72056169,BimodalDFE_div100
28,28,49.8347088334,0.335041006469,581.688791031,1.36904174794e-05,-11520.9720032,BimodalDFE_div100
29,29,392.676357854,0.324184841112,818.82238042,0.0120952902652,-2170.68098264,BimodalDFE_div100
30,30,648.766288518,3.28465740988e-05,103.975102703,0.000320168968978,-23798.0143454,BimodalDFE_div100
31,31,643.762117982,2.99011368358e-05,109.013164352,0.000342815165631,-23799.3965946,BimodalDFE_div100
32,32,618.165147951,0.0254562135989,493.354616124,0.0738263225408,-2363.08042741,BimodalDFE_div100
33,33,341.965366521,0.485433925787,954.000076762,0.00950381427491,-2109.22294423,BimodalDFE_div100
34,34,390.837640641,8.57005302157e-05,1.08981388636,0.0226688118254,-23846.8096483,BimodalDFE_div100
35,35,126.135212684,0.000293800679369,780.490939861,2.1237861487e-05,-23840.1704959,BimodalDFE_div100
36,36,140.157779909,0.000290812035207,957.252711217,1.4517095235e-05,-23839.8983339,BimodalDFE_div100
37,37,312.612129658,0.00012279653993,37.0415218928,0.00156105984071,-23763.7969791,BimodalDFE_div100
38,38,95.645552575,0.0410287390711,546.4215976,0.0138957067997,-3736.86754703,BimodalDFE_div100
39,39,412.748152207,8.19133309183e-05,60.389519784,0.00986469900801,-23889.4827877,BimodalDFE_div100
40,40,1.03393216311,0.0375501776167,833.372470867,1.59129441267e-05,-23805.4356906,BimodalDFE_div100
41,41,609.989247667,5.53618849593e-05,20.9354189155,0.00174404846173,-23754.5596414,BimodalDFE_div100
42,42,208.131528237,9.78566399829e-06,535.284931026,2.29634195161e-05,-23172.590727,BimodalDFE_div100
43,43,486.346502509,5.56364157414e-05,1.05899961933,0.0275515619183,-23819.8849775,BimodalDFE_div100
44,44,305.269785904,0.551458981836,584.972596893,0.0277937010661,-2948.45649578,BimodalDFE_div100
45,45,195.071956131,0.780482629084,601.686413452,0.0165748640407,-2919.64444335,BimodalDFE_div100
46,46,14.3327343178,0.0530327881267,342.726979246,0.000116883873973,-23817.0127455,BimodalDFE_div100
47,47,574.989812363,3.63640989777e-05,99.4233028364,0.000337014046084,-23819.8986467,BimodalDFE_div100
48,48,0.462313050453,0.748039474778,379.959495955,0.00474677277546,-6787.5152167,BimodalDFE_div100
49,49,30.0337806592,0.00526998833657,341.107556068,0.00871385175302,-21338.7909475,BimodalDFE_div100
50,50,165.183106133,0.00222398312084,672.848048928,0.0728304789579,-2002.99688878,BimodalDFE_div100
51,51,502.789292518,4.97071829976e-05,1.05170118614,0.0290505744626,-23833.3966554,BimodalDFE_div100
52,52,65.0431435154,1.41204100716e-05,709.311139644,0.000277869135847,-15250.9087969,BimodalDFE_div100
53,53,489.5214382,5.62829032392e-05,69.9886520157,0.000452186901728,-23857.8191059,BimodalDFE_div100
54,54,694.317321903,2.91215712179e-05,107.963922464,0.000318785808408,-23905.3983537,BimodalDFE_div100
55,55,288.334961375,0.102404395769,461.654234423,0.00311651453701,-3627.04068774,BimodalDFE_div100
56,56,652.666093645,3.01045221574e-05,1.04658841588,0.0350384949102,-23803.1267876,BimodalDFE_div100
57,57,809.74350874,1.62234404415e-05,157.745454222,0.000244811703019,-23831.7866176,BimodalDFE_div100
58,58,533.74463591,4.6616584963e-05,90.7435221229,0.000345245720284,-23871.8109884,BimodalDFE_div100
59,59,509.199133244,7.38046069528e-05,98.9212061855,0.175612083286,-13777.0241831,BimodalDFE_div100
60,60,595.466237675,6.40086786285e-05,149.011803316,0.0118888680953,-21188.1749987,BimodalDFE_div100
61,61,410.451884115,0.000234355513107,190.210523695,1.6022412298e-05,-21563.0771218,BimodalDFE_div100
62,62,659.994255747,0.594892374677,450.468373081,0.120388134989,-1187.73112827,BimodalDFE_div100
63,63,374.962985878,9.7294138828e-05,1.14141914759,0.0200066980089,-23846.1174234,BimodalDFE_div100
64,64,582.288992078,4.1509350897e-05,1.05547747747,0.0295354951212,-23894.5867719,BimodalDFE_div100
65,65,97.6438375634,0.00126318966545,766.481990194,2.28666264848e-05,-23670.6772062,BimodalDFE_div100
66,66,592.418578651,3.12838903044e-05,126.830484888,0.000282126923037,-23817.9463763,BimodalDFE_div100
67,67,907.996839797,0.649942222626,0.160222117684,0.2,-710.789766716,BimodalDFE_div100
68,68,514.069827833,4.56392862339e-05,104.594092853,0.000302231653782,-23891.5896174,BimodalDFE_div100
69,69,1.04360582098,0.0349379517767,711.350269717,2.63791285153e-05,-23852.8498947,BimodalDFE_div100
70,70,726.854089783,2.39046154897e-05,1.03873520813,0.0352493684224,-23890.784434,BimodalDFE_div100
71,71,663.015181913,2.70170262244e-05,132.097784475,0.00026382436349,-23829.3739429,BimodalDFE_div100
72,72,409.377541283,7.64440371908e-05,74.3086620857,2.96115943585e-05,-23797.0290736,BimodalDFE_div100
73,73,91.2550346175,0.108277314052,441.932971306,0.0987369177153,-2787.19791411,BimodalDFE_div100
74,74,456.456842301,5.99562519867e-05,61.9280010044,0.000314919570092,-23853.7794385,BimodalDFE_div100
75,75,645.491549872,0.976219170967,1502.47081955,6.3090629359e-05,-4748.3973147,BimodalDFE_div100
76,76,934.455996688,0.000563549717081,301.374285827,0.00678039696558,-5985.16860261,BimodalDFE_div100
77,77,250.147605609,7.80834613563e-05,790.522938002,2.14140066449e-05,-23758.3675302,BimodalDFE_div100
78,78,415.983502071,0.556003076338,33036.4566125,0.181576361316,-2146.98109715,BimodalDFE_div100
79,79,674.308623389,3.0209813432e-05,1.05030534808,0.0330932416377,-23840.0077857,BimodalDFE_div100
80,80,5.80828167424,0.0150225498301,850.977920472,0.00966417412943,-2921.58157846,BimodalDFE_div100
81,81,946.918469111,0.749771679246,0.040160437087,0.2,-632.572572008,BimodalDFE_div100
82,82,301.939675748,0.00773520583884,751.601064363,0.000887710876785,-6590.40664804,BimodalDFE_div100
83,83,434.614772885,7.77676911378e-05,20.8015162892,0.182818721352,-21935.5553232,BimodalDFE_div100
84,84,90.1231331393,0.383877680189,788.687122537,0.0105590094946,-2944.76055366,BimodalDFE_div100
85,85,445.082966036,9.9524780272e-05,0.00465656674331,0.0872932459669,-23110.7519159,BimodalDFE_div100
86,86,559.431988842,3.9227422166e-05,107.67266993,0.000303317231881,-23818.7421073,BimodalDFE_div100
87,87,746.848372332,1.88341523509e-05,1.03530372614,0.0368934158208,-23851.776472,BimodalDFE_div100
88,88,699.413562319,2.28796906211e-05,132.547197083,0.000283093341985,-23891.14925,BimodalDFE_div100
89,89,1.00002833658,0.466102710906,679.333311891,0.0299420104213,-2508.22143976,BimodalDFE_div100
90,90,566.546063686,3.97074640913e-05,99.6694033877,0.000336319739758,-23850.7459272,BimodalDFE_div100
91,91,381.418922459,0.000756254318455,19.9245539855,0.00269385405306,-15017.2318253,BimodalDFE_div100
92,92,28.4663760944,0.0711443116271,483.751382278,0.0177676445066,-3865.7023728,BimodalDFE_div100
93,93,54.4772144129,0.000506808490639,424.695017029,7.50904305327e-05,-23829.1901978,BimodalDFE_div100
94,94,1.04422371883,0.0311748151288,628.198600568,3.30279202475e-05,-23811.8506078,BimodalDFE_div100
95,95,268.166442559,0.0696904904139,600.797590182,0.00166196148539,-4373.16791187,BimodalDFE_div100
96,96,2908.74235177,0.00636462715845,589.144545334,0.00109951133392,-8400.56583867,BimodalDFE_div100
97,97,0.558235462134,0.105052332792,828.058712074,0.034578790103,-1962.3364223,BimodalDFE_div100
98,98,472.682991301,5.86885313603e-05,264.916142095,3.78533120554e-05,-23823.7546823,BimodalDFE_div100
99,99,91.0272775795,0.00216450711194,785.259085246,0.0681631233528,-1690.19584178,BimodalDFE_div100
100,100,9.06713910093,0.145019506829,319.741861537,0.00111004519401,-14067.635251,BimodalDFE_div100
101,101,20.7858203251,0.991234873232,819.736219923,0.13586791729,-1297.51626815,BimodalDFE_div100
102,102,35.674539038,0.882544696788,644.927368535,0.00232801580689,-18915.4116781,BimodalDFE_div100
103,103,528.829221568,0.000280073524744,2858.11082365,0.000166247501598,-6626.43386205,BimodalDFE_div100
104,104,0.304078797808,0.447278348557,895.024796547,0.0111351890562,-2270.15879101,BimodalDFE_div100
105,105,0.000770731256594,0.72242588245,550.082214623,0.127331141402,-2152.01149202,BimodalDFE_div100
106,106,653.81099239,2.89054229589e-05,118.008487472,0.00030097431652,-23864.2986553,BimodalDFE_div100
107,107,1.10917555746,0.0237632382393,392.102681755,8.98919233935e-05,-23918.460864,BimodalDFE_div100
108,108,721.019762773,2.22769261709e-05,140.870781951,0.000260461303191,-23819.0254287,BimodalDFE_div100
109,109,648.432327369,3.03377608093e-05,1.04437829623,0.0323248033079,-23828.5092808,BimodalDFE_div100
110,110,145.301316218,0.000475099864613,0.955915827439,0.0811032877995,-23232.1091496,BimodalDFE_div100
111,111,434.248729869,4.22764248631e-05,342.799043959,0.192233492624,-16483.307819,BimodalDFE_div100
112,112,814.066716517,1.85196017716e-05,142.053819381,0.000269122743773,-23852.2364952,BimodalDFE_div100
113,113,13454.7275484,0.999939220471,484.43434917,0.00115357508388,-3393.79251006,BimodalDFE_div100
114,114,1.04678875901,0.031709058775,606.563711118,3.52381674728e-05,-23831.2157722,BimodalDFE_div100
115,115,648.330330349,2.69318694251e-05,186.91833746,0.00232216096724,-23345.4584196,BimodalDFE_div100
116,116,141.91364819,0.00967440284694,380.645715993,7.90952200548e-05,-23584.2300505,BimodalDFE_div100
117,117,0.0778865755224,0.408202718112,201.073502491,9.9532507497e-05,-23372.9321212,BimodalDFE_div100
118,118,185.829475353,0.0105473001091,27315.206516,3.61148046072e-06,-7506.5266974,BimodalDFE_div100
119,119,140.809331941,0.000261913429979,763.569888878,2.09277232919e-05,-23833.4380632,BimodalDFE_div100
120,120,348.896725731,0.000113301167986,1.2302754509,0.0275746734341,-23812.6914116,BimodalDFE_div100
