,rep,NeSa,pa,AIC,identifier
0,0,154.178730863,0.000413088383816,-24096.4044301,Exp.Nes100_dDFE.Exponential_div10
1,1,156.339289843,0.000399601790593,-23971.3134968,Exp.Nes100_dDFE.Exponential_div10
2,2,156.014697672,0.000407003216574,-23924.0478419,Exp.Nes100_dDFE.Exponential_div10
3,3,158.952148706,0.000395566962547,-23969.9117074,Exp.Nes100_dDFE.Exponential_div10
4,4,156.272559255,0.000409484028171,-24056.4744162,Exp.Nes100_dDFE.Exponential_div10
5,5,156.580724314,0.000403185515655,-24029.8539912,Exp.Nes100_dDFE.Exponential_div10
6,6,166.945461879,0.000374156891127,-24011.6501862,Exp.Nes100_dDFE.Exponential_div10
7,7,158.83123063,0.000396809953173,-24049.0797709,Exp.Nes100_dDFE.Exponential_div10
8,8,161.349924322,0.000389322093407,-23980.8236863,Exp.Nes100_dDFE.Exponential_div10
9,9,153.532315876,0.000414631401306,-24067.5076104,Exp.Nes100_dDFE.Exponential_div10
10,10,160.249522846,0.000390940132756,-24004.416987,Exp.Nes100_dDFE.Exponential_div10
11,11,153.617387992,0.000416243863119,-24059.6017923,Exp.Nes100_dDFE.Exponential_div10
12,12,156.66863984,0.000406059829527,-24053.7731911,Exp.Nes100_dDFE.Exponential_div10
13,13,158.251962021,0.000398615203289,-24041.4043735,Exp.Nes100_dDFE.Exponential_div10
14,14,164.312605035,0.000372789056126,-24016.8011361,Exp.Nes100_dDFE.Exponential_div10
15,15,161.276038196,0.000390539730698,-23981.7583019,Exp.Nes100_dDFE.Exponential_div10
16,16,159.126608644,0.000396693950793,-24025.8247858,Exp.Nes100_dDFE.Exponential_div10
17,17,177.346786405,0.000343477632944,-24011.1272224,Exp.Nes100_dDFE.Exponential_div10
18,18,162.572426084,0.00039151995436,-23996.7713111,Exp.Nes100_dDFE.Exponential_div10
19,19,157.583624582,0.000405550634763,-24108.0350925,Exp.Nes100_dDFE.Exponential_div10
20,20,169.191329867,0.000360171931557,-23991.4279603,Exp.Nes100_dDFE.Exponential_div10
21,21,165.983191513,0.00037582035352,-24002.5955875,Exp.Nes100_dDFE.Exponential_div10
22,22,159.002254393,0.000398712234763,-23973.0025414,Exp.Nes100_dDFE.Exponential_div10
23,23,1533.30060746,4.07500130839e-06,-22997.8215231,Exp.Nes100_dDFE.Exponential_div10
24,24,158.194081766,0.000405218771313,-24013.7776376,Exp.Nes100_dDFE.Exponential_div10
25,25,149.436861797,0.000428710960717,-24046.6096763,Exp.Nes100_dDFE.Exponential_div10
26,26,158.970663347,0.000390515906915,-23951.1807975,Exp.Nes100_dDFE.Exponential_div10
27,27,163.459837822,0.000383088567232,-23997.6120285,Exp.Nes100_dDFE.Exponential_div10
28,28,159.853919988,0.000390141592076,-24050.5674774,Exp.Nes100_dDFE.Exponential_div10
29,29,156.652560812,0.000408975924746,-24033.2947086,Exp.Nes100_dDFE.Exponential_div10
30,30,155.032532799,0.000410418654252,-24048.3022398,Exp.Nes100_dDFE.Exponential_div10
31,31,158.600187506,0.000390542097906,-24018.1553906,Exp.Nes100_dDFE.Exponential_div10
32,32,158.335519786,0.000396424428953,-23989.2883754,Exp.Nes100_dDFE.Exponential_div10
33,33,158.308509109,0.000398609988418,-23972.947811,Exp.Nes100_dDFE.Exponential_div10
34,34,163.825866999,0.000378551061758,-24001.9678382,Exp.Nes100_dDFE.Exponential_div10
35,35,165.863727181,0.000374476578776,-24057.0905262,Exp.Nes100_dDFE.Exponential_div10
36,36,157.295256819,0.000406084128802,-24103.8775743,Exp.Nes100_dDFE.Exponential_div10
37,37,160.756398723,0.000391017759873,-23930.2274295,Exp.Nes100_dDFE.Exponential_div10
38,38,163.400601809,0.000389173647704,-24051.4133739,Exp.Nes100_dDFE.Exponential_div10
39,39,157.584279405,0.000402080268776,-24040.189187,Exp.Nes100_dDFE.Exponential_div10
40,40,157.124642856,0.000406437650478,-24037.5089398,Exp.Nes100_dDFE.Exponential_div10
41,41,168.824067973,0.000371130398974,-24021.8266303,Exp.Nes100_dDFE.Exponential_div10
42,42,158.162620219,0.000402051621413,-24041.877167,Exp.Nes100_dDFE.Exponential_div10
43,43,157.555776719,0.00040066583791,-24004.2295673,Exp.Nes100_dDFE.Exponential_div10
44,44,162.805798693,0.000381884939989,-24071.0102949,Exp.Nes100_dDFE.Exponential_div10
45,45,164.245318717,0.00038435541425,-24047.52845,Exp.Nes100_dDFE.Exponential_div10
46,46,156.42982745,0.000405596206228,-23995.5682186,Exp.Nes100_dDFE.Exponential_div10
47,47,160.066801221,0.000395247845091,-23978.9853026,Exp.Nes100_dDFE.Exponential_div10
48,48,160.885243991,0.000394890652582,-24004.1878368,Exp.Nes100_dDFE.Exponential_div10
49,49,160.274484133,0.000395677199079,-24057.1114742,Exp.Nes100_dDFE.Exponential_div10
50,50,154.017450252,0.000418094487742,-24060.947063,Exp.Nes100_dDFE.Exponential_div10
51,51,159.43276059,0.000398218764452,-23981.1670855,Exp.Nes100_dDFE.Exponential_div10
52,52,162.000839381,0.000385381854564,-23935.376989,Exp.Nes100_dDFE.Exponential_div10
53,53,156.684490981,0.000405243213798,-24074.5579441,Exp.Nes100_dDFE.Exponential_div10
54,54,155.617928399,0.00041506135171,-24046.7268994,Exp.Nes100_dDFE.Exponential_div10
55,55,164.34479105,0.000382216685538,-24027.7569038,Exp.Nes100_dDFE.Exponential_div10
56,56,157.501586935,0.000401641893955,-24049.8388038,Exp.Nes100_dDFE.Exponential_div10
57,57,164.08290095,0.000375684692324,-23985.902978,Exp.Nes100_dDFE.Exponential_div10
58,58,166.198507129,0.000373180521751,-23981.0315835,Exp.Nes100_dDFE.Exponential_div10
59,59,147.117854765,0.000442749708194,-23994.6581068,Exp.Nes100_dDFE.Exponential_div10
60,60,158.898547351,0.000400608749191,-24032.1754878,Exp.Nes100_dDFE.Exponential_div10
61,61,161.495808104,0.000388698769277,-24118.2195034,Exp.Nes100_dDFE.Exponential_div10
62,62,166.24174077,0.00037001281146,-24036.9754404,Exp.Nes100_dDFE.Exponential_div10
63,63,164.382516372,0.000382690297662,-24033.2876686,Exp.Nes100_dDFE.Exponential_div10
64,64,159.094334881,0.000396957052636,-23920.673152,Exp.Nes100_dDFE.Exponential_div10
65,65,160.308170656,0.000392500553328,-24058.0268976,Exp.Nes100_dDFE.Exponential_div10
66,66,161.596460478,0.00038408082359,-23987.0953627,Exp.Nes100_dDFE.Exponential_div10
67,67,157.182869887,0.000404172348487,-23993.3021415,Exp.Nes100_dDFE.Exponential_div10
68,68,156.604497105,0.000404865533932,-24082.2407583,Exp.Nes100_dDFE.Exponential_div10
69,69,155.86864295,0.000401056082197,-24007.6538542,Exp.Nes100_dDFE.Exponential_div10
70,70,154.289249683,0.000408494682484,-24055.7580104,Exp.Nes100_dDFE.Exponential_div10
71,71,165.134332845,0.000383760626152,-24000.1332074,Exp.Nes100_dDFE.Exponential_div10
72,72,154.345164786,0.00041401169452,-23948.7621181,Exp.Nes100_dDFE.Exponential_div10
73,73,157.645506198,0.000403274407487,-24048.0511971,Exp.Nes100_dDFE.Exponential_div10
74,74,160.730606316,0.00039221445807,-24061.9859748,Exp.Nes100_dDFE.Exponential_div10
75,75,157.11511909,0.000402350507359,-24044.5117951,Exp.Nes100_dDFE.Exponential_div10
76,76,158.690529422,0.000401601545955,-24017.8614624,Exp.Nes100_dDFE.Exponential_div10
77,77,164.649813182,0.000376644879556,-23992.8541707,Exp.Nes100_dDFE.Exponential_div10
78,78,158.003901601,0.000404486825741,-24013.9045411,Exp.Nes100_dDFE.Exponential_div10
79,79,155.239177716,0.000413873037557,-23972.5776448,Exp.Nes100_dDFE.Exponential_div10
80,80,165.555024883,0.000377153465272,-24112.5720612,Exp.Nes100_dDFE.Exponential_div10
81,81,163.049509361,0.000385536997001,-24019.9114417,Exp.Nes100_dDFE.Exponential_div10
82,82,112.513172984,2.13142631578e-06,-22978.9272208,Exp.Nes100_dDFE.Exponential_div10
83,83,157.294136473,0.000401472105861,-24015.7868668,Exp.Nes100_dDFE.Exponential_div10
84,84,151.147777802,0.00042873608526,-23986.2284615,Exp.Nes100_dDFE.Exponential_div10
85,85,167.39698803,0.000376026895777,-23981.7437228,Exp.Nes100_dDFE.Exponential_div10
86,86,158.928132027,0.00040499260566,-24021.5368146,Exp.Nes100_dDFE.Exponential_div10
87,87,156.039027775,0.000419623563505,-24066.7822094,Exp.Nes100_dDFE.Exponential_div10
88,88,156.599674585,0.00040441648342,-24106.4119676,Exp.Nes100_dDFE.Exponential_div10
89,89,151.528558766,0.000424690140264,-24029.0572535,Exp.Nes100_dDFE.Exponential_div10
90,90,153.63804695,0.000428712197468,-24022.5406083,Exp.Nes100_dDFE.Exponential_div10
91,91,154.310362376,0.000414750482489,-24066.4144299,Exp.Nes100_dDFE.Exponential_div10
92,92,161.23604219,0.000383564471693,-24035.5442479,Exp.Nes100_dDFE.Exponential_div10
93,93,154.378026904,0.000417006383129,-24046.3823646,Exp.Nes100_dDFE.Exponential_div10
94,94,160.639524789,0.000393043234533,-23950.0641651,Exp.Nes100_dDFE.Exponential_div10
95,95,159.12077876,0.000405085203634,-24027.1478328,Exp.Nes100_dDFE.Exponential_div10
96,96,156.016793051,0.000410846004543,-23992.2545689,Exp.Nes100_dDFE.Exponential_div10
97,97,167.745631604,0.00037124402363,-24004.2098782,Exp.Nes100_dDFE.Exponential_div10
98,98,162.22791789,0.000383681394323,-24096.6558578,Exp.Nes100_dDFE.Exponential_div10
99,99,170.690763493,0.000359586116791,-24090.0383576,Exp.Nes100_dDFE.Exponential_div10
