,rep,NeSa,pa,AIC,identifier
0,0,99.142118769,0.000594599364072,-23750.9595556,Exp.Nes10_dDFE.Exponential
1,1,110.565961597,0.000519735627162,-23824.9208371,Exp.Nes10_dDFE.Exponential
2,2,112.255841422,0.000503875987013,-23878.8567429,Exp.Nes10_dDFE.Exponential
3,3,108.988709952,0.000521250356966,-23779.7232377,Exp.Nes10_dDFE.Exponential
4,4,111.143697633,0.000518295672049,-23808.7750043,Exp.Nes10_dDFE.Exponential
5,5,112.943986542,0.000494545326043,-23708.1699334,Exp.Nes10_dDFE.Exponential
6,6,106.563417106,0.000545590103956,-23836.2084998,Exp.Nes10_dDFE.Exponential
7,7,107.842787408,0.000536979591066,-23746.1824016,Exp.Nes10_dDFE.Exponential
8,8,116.152874211,0.000482096410305,-23785.7659565,Exp.Nes10_dDFE.Exponential
9,9,115.192634299,0.000491715702225,-23732.7423785,Exp.Nes10_dDFE.Exponential
10,10,110.512524776,0.000516640705445,-23824.9430828,Exp.Nes10_dDFE.Exponential
11,11,116.306806714,0.000472653493968,-23802.3749933,Exp.Nes10_dDFE.Exponential
12,12,113.022604794,0.00049607066304,-23796.6407536,Exp.Nes10_dDFE.Exponential
13,13,107.656817044,0.0005465369494,-23783.5910658,Exp.Nes10_dDFE.Exponential
14,14,109.412916666,0.000527178549986,-23793.4477872,Exp.Nes10_dDFE.Exponential
15,15,107.816797267,0.000532905367085,-23758.2051294,Exp.Nes10_dDFE.Exponential
16,16,105.241582469,0.000549693597385,-23769.2144961,Exp.Nes10_dDFE.Exponential
17,17,107.597926026,0.000543365133354,-23852.3260401,Exp.Nes10_dDFE.Exponential
18,18,109.109548319,0.000511561791227,-23801.4927371,Exp.Nes10_dDFE.Exponential
19,19,107.583576304,0.000535786866153,-23795.002508,Exp.Nes10_dDFE.Exponential
20,20,105.965372149,0.000558200962765,-23720.8313342,Exp.Nes10_dDFE.Exponential
21,21,101.78680594,0.000576441243959,-23735.6249853,Exp.Nes10_dDFE.Exponential
22,22,113.966289473,0.000491935883522,-23765.3537177,Exp.Nes10_dDFE.Exponential
23,23,111.527137185,0.000512039378575,-23809.4631794,Exp.Nes10_dDFE.Exponential
24,24,107.181051714,0.000533434134572,-23704.3326151,Exp.Nes10_dDFE.Exponential
25,25,107.834963934,0.000536818049421,-23744.5891204,Exp.Nes10_dDFE.Exponential
26,26,101.096159941,0.000580524844875,-23770.9337797,Exp.Nes10_dDFE.Exponential
27,27,111.789148476,0.000503630555022,-23686.9712823,Exp.Nes10_dDFE.Exponential
28,28,108.642296819,0.000531804932783,-23842.4484857,Exp.Nes10_dDFE.Exponential
29,29,100.500027463,0.000583701865361,-23694.7894452,Exp.Nes10_dDFE.Exponential
30,30,112.533733707,0.000503624680245,-23711.9364811,Exp.Nes10_dDFE.Exponential
31,31,107.882543622,0.000524213564706,-23802.4308736,Exp.Nes10_dDFE.Exponential
32,32,109.163368444,0.000530032583488,-23732.0440278,Exp.Nes10_dDFE.Exponential
33,33,100.952144199,0.00058483167492,-23775.54419,Exp.Nes10_dDFE.Exponential
34,34,110.894963486,0.0005176959112,-23751.4047734,Exp.Nes10_dDFE.Exponential
35,35,2009.19582117,4.56419881179e-06,-23177.1498356,Exp.Nes10_dDFE.Exponential
36,36,104.875987995,0.000555560429362,-23786.4890476,Exp.Nes10_dDFE.Exponential
37,37,116.788880076,0.000469059103146,-23745.4762474,Exp.Nes10_dDFE.Exponential
38,38,107.379987019,0.000535281312249,-23783.1173567,Exp.Nes10_dDFE.Exponential
39,39,100.470222957,0.000590454840518,-23755.3894861,Exp.Nes10_dDFE.Exponential
40,40,110.952215493,0.000519864020211,-23829.3001969,Exp.Nes10_dDFE.Exponential
41,41,105.880352204,0.000536572765165,-23667.5223117,Exp.Nes10_dDFE.Exponential
42,42,111.482326892,0.000506128067611,-23788.85089,Exp.Nes10_dDFE.Exponential
43,43,110.258935752,0.00051622925212,-23820.8142719,Exp.Nes10_dDFE.Exponential
44,44,109.034615226,0.000529017094715,-23766.5142703,Exp.Nes10_dDFE.Exponential
45,45,108.624125724,0.000525508880972,-23830.4873083,Exp.Nes10_dDFE.Exponential
46,46,106.76447207,0.000542515975376,-23760.1795031,Exp.Nes10_dDFE.Exponential
47,47,110.332445134,0.000525119651568,-23800.731688,Exp.Nes10_dDFE.Exponential
48,48,114.310647031,0.000502510031014,-23753.4203884,Exp.Nes10_dDFE.Exponential
49,49,112.580276846,0.000500389704093,-23692.0178565,Exp.Nes10_dDFE.Exponential
50,50,109.679225695,0.00051318288733,-23760.945442,Exp.Nes10_dDFE.Exponential
51,51,104.153966205,0.00056138133938,-23767.6626459,Exp.Nes10_dDFE.Exponential
52,52,104.728746999,0.00055746614201,-23743.5092213,Exp.Nes10_dDFE.Exponential
53,53,111.841430497,0.000512796086454,-23848.47042,Exp.Nes10_dDFE.Exponential
54,54,110.539668939,0.000514676494083,-23701.0576599,Exp.Nes10_dDFE.Exponential
55,55,113.427760151,0.000496925111563,-23782.446756,Exp.Nes10_dDFE.Exponential
56,56,2667.59950029,3.45825945708e-06,-23121.3240836,Exp.Nes10_dDFE.Exponential
57,57,105.745248146,0.000544831602598,-23790.4070112,Exp.Nes10_dDFE.Exponential
58,58,116.183904807,0.000484416557719,-23795.4506541,Exp.Nes10_dDFE.Exponential
59,59,109.672979945,0.000524002336441,-23823.4367429,Exp.Nes10_dDFE.Exponential
