,rep,NeSa,pa,AIC,identifier
0,0,339.975872714,0.000115813993549,-23739.5162897,Nes10_dDFE.Exponential_div10
1,1,332.832366667,0.000121113858737,-23741.4266658,Nes10_dDFE.Exponential_div10
2,2,343.117636679,0.000111005581031,-23736.0866928,Nes10_dDFE.Exponential_div10
3,3,332.20826697,0.000119106687234,-23696.6097723,Nes10_dDFE.Exponential_div10
4,4,354.424564848,0.000108871562368,-23740.7251228,Nes10_dDFE.Exponential_div10
5,5,321.828590658,0.000124525905051,-23724.6010518,Nes10_dDFE.Exponential_div10
6,6,339.05275976,0.000116453189284,-23746.5729359,Nes10_dDFE.Exponential_div10
7,7,348.021463225,0.000110709967222,-23730.4814941,Nes10_dDFE.Exponential_div10
8,8,337.021243355,0.000116042285239,-23714.2635106,Nes10_dDFE.Exponential_div10
9,9,339.321136985,0.000117034083661,-23712.4850687,Nes10_dDFE.Exponential_div10
10,10,328.396660879,0.000121657050971,-23758.6153344,Nes10_dDFE.Exponential_div10
11,11,333.374967664,0.000119343204388,-23841.9904424,Nes10_dDFE.Exponential_div10
12,12,324.447752538,0.000122078258422,-23698.2222677,Nes10_dDFE.Exponential_div10
13,13,331.991814403,0.000118124336676,-23775.6295147,Nes10_dDFE.Exponential_div10
14,14,329.287578974,0.000120177455085,-23667.0667597,Nes10_dDFE.Exponential_div10
15,15,347.822663445,0.000112883674023,-23732.7544439,Nes10_dDFE.Exponential_div10
16,16,351.209636965,0.000111366795757,-23696.5404197,Nes10_dDFE.Exponential_div10
17,17,361.773252863,0.000106564888083,-23744.1082614,Nes10_dDFE.Exponential_div10
18,18,312.283121817,0.000129255775342,-23771.662329,Nes10_dDFE.Exponential_div10
19,19,346.040184949,0.000111644580626,-23812.0482475,Nes10_dDFE.Exponential_div10
20,20,358.580841402,0.000106017298139,-23674.0201863,Nes10_dDFE.Exponential_div10
21,21,348.494572937,0.000113136346863,-23728.5405438,Nes10_dDFE.Exponential_div10
22,22,336.102165766,0.000117714416038,-23751.8839985,Nes10_dDFE.Exponential_div10
23,23,352.976717171,0.000109487363946,-23701.9756986,Nes10_dDFE.Exponential_div10
24,24,347.055862288,0.000113028805576,-23719.1762619,Nes10_dDFE.Exponential_div10
25,25,336.260503675,0.000118020339694,-23807.6511654,Nes10_dDFE.Exponential_div10
26,26,320.334883161,0.000123257942774,-23738.2842641,Nes10_dDFE.Exponential_div10
27,27,356.985177971,0.000108967655513,-23731.3983562,Nes10_dDFE.Exponential_div10
28,28,321.2966199,0.000123557164312,-23724.0037465,Nes10_dDFE.Exponential_div10
29,29,341.600868161,0.000115078956073,-23773.0977435,Nes10_dDFE.Exponential_div10
30,30,337.536588269,0.000114898754566,-23686.9103122,Nes10_dDFE.Exponential_div10
31,31,340.769830372,0.000114316815538,-23732.249484,Nes10_dDFE.Exponential_div10
32,32,353.050148316,0.000111176624598,-23778.1591345,Nes10_dDFE.Exponential_div10
33,33,343.587632611,0.000115348914374,-23706.4743531,Nes10_dDFE.Exponential_div10
34,34,355.872100636,0.000108440189832,-23777.3592767,Nes10_dDFE.Exponential_div10
35,35,327.011725853,0.000121419676104,-23705.2995303,Nes10_dDFE.Exponential_div10
36,36,335.275980956,0.000118927177535,-23708.102452,Nes10_dDFE.Exponential_div10
37,37,341.330313218,0.000113026344617,-23690.6201278,Nes10_dDFE.Exponential_div10
