,rep,NeSa,pa,AIC,identifier
0,0,565.199536565,0.000550200957911,-27315.2408249,Nes200_dDFE.Exponential
1,1,561.600065552,0.000554375757258,-27391.6754609,Nes200_dDFE.Exponential
2,2,560.882661085,0.000552623474768,-27384.0308968,Nes200_dDFE.Exponential
3,3,565.179450619,0.000550771353268,-27455.3931517,Nes200_dDFE.Exponential
4,4,562.406655028,0.000550349630704,-27430.4530441,Nes200_dDFE.Exponential
5,5,563.977902668,0.000550403587437,-27339.970934,Nes200_dDFE.Exponential
6,6,564.983956331,0.000551661756754,-27363.1093972,Nes200_dDFE.Exponential
7,7,565.912490191,0.00054772148119,-27469.4197179,Nes200_dDFE.Exponential
8,8,563.361058627,0.000553889061562,-27447.8277358,Nes200_dDFE.Exponential
9,9,562.467679456,0.000552048514615,-27321.1393464,Nes200_dDFE.Exponential
10,10,560.59880963,0.00055350389051,-27504.9198181,Nes200_dDFE.Exponential
11,11,562.360019007,0.000554785653952,-27480.2318843,Nes200_dDFE.Exponential
12,12,562.909769574,0.000553385259521,-27477.1752281,Nes200_dDFE.Exponential
13,13,566.916831755,0.000548082927872,-27343.9190528,Nes200_dDFE.Exponential
14,14,565.676416333,0.000548227818041,-27388.3077622,Nes200_dDFE.Exponential
15,15,565.170331982,0.000549241009438,-27321.1910921,Nes200_dDFE.Exponential
16,16,566.066579289,0.000546513775218,-27410.4951436,Nes200_dDFE.Exponential
17,17,568.899056265,0.000542940289528,-27391.9345708,Nes200_dDFE.Exponential
18,18,564.630898857,0.000551343956846,-27413.3959695,Nes200_dDFE.Exponential
19,19,563.996968671,0.000549487079457,-27478.4767458,Nes200_dDFE.Exponential
20,20,570.262352174,0.000543005432719,-27507.2573439,Nes200_dDFE.Exponential
21,21,568.560598824,0.000545626575041,-27434.6726249,Nes200_dDFE.Exponential
22,22,564.974558739,0.000549808572533,-27434.494182,Nes200_dDFE.Exponential
23,23,563.676377655,0.000551678740682,-27351.6265877,Nes200_dDFE.Exponential
24,24,560.021477552,0.000557823236892,-27432.008471,Nes200_dDFE.Exponential
25,25,566.049333504,0.000548456005694,-27435.6528369,Nes200_dDFE.Exponential
26,26,566.310915121,0.000547229865894,-27360.2849765,Nes200_dDFE.Exponential
27,27,559.92432978,0.000557236964115,-27458.9794925,Nes200_dDFE.Exponential
28,28,564.333817984,0.000548299302304,-27472.3449311,Nes200_dDFE.Exponential
29,29,564.363139824,0.00055036895919,-27391.1129554,Nes200_dDFE.Exponential
30,30,562.513894052,0.000554195240972,-27321.3994963,Nes200_dDFE.Exponential
31,31,562.672703494,0.000554204682366,-27441.8932005,Nes200_dDFE.Exponential
32,32,562.147956817,0.000553221061888,-27416.4442579,Nes200_dDFE.Exponential
33,33,562.947189402,0.000551111996979,-27343.955825,Nes200_dDFE.Exponential
34,34,568.23168778,0.000547892785975,-27422.5580547,Nes200_dDFE.Exponential
35,35,567.657154525,0.000544994043581,-27434.8883249,Nes200_dDFE.Exponential
36,36,565.237676219,0.000549594045969,-27439.0727621,Nes200_dDFE.Exponential
37,37,563.103041693,0.000552451917159,-27415.5389555,Nes200_dDFE.Exponential
38,38,562.141652069,0.000552977981353,-27399.243115,Nes200_dDFE.Exponential
39,39,566.864667124,0.000548172720924,-27354.7389525,Nes200_dDFE.Exponential
40,40,563.195781411,0.000549438399349,-27401.6174063,Nes200_dDFE.Exponential
41,41,563.464183513,0.000550859553919,-27411.6065827,Nes200_dDFE.Exponential
42,42,564.247752655,0.00055173132163,-27446.6761462,Nes200_dDFE.Exponential
43,43,565.857172549,0.000548956985017,-27411.5240408,Nes200_dDFE.Exponential
44,44,564.602970023,0.000549478179883,-27355.1484653,Nes200_dDFE.Exponential
45,45,567.618546692,0.000547616532343,-27347.8018293,Nes200_dDFE.Exponential
46,46,569.054401054,0.000545309760338,-27502.1921053,Nes200_dDFE.Exponential
47,47,566.178912796,0.000548370730646,-27356.5588332,Nes200_dDFE.Exponential
48,48,558.431038711,0.000561753555587,-27423.0942441,Nes200_dDFE.Exponential
49,49,556.587325855,0.00056349871015,-27397.9543083,Nes200_dDFE.Exponential
50,50,561.048942531,0.000555888270935,-27469.81078,Nes200_dDFE.Exponential
51,51,558.723222257,0.00055765097603,-27491.878502,Nes200_dDFE.Exponential
52,52,555.326308175,0.000562934933307,-27460.115817,Nes200_dDFE.Exponential
53,53,560.647616865,0.000555275559936,-27285.0931087,Nes200_dDFE.Exponential
54,54,564.817826692,0.000550919429228,-27358.2481574,Nes200_dDFE.Exponential
55,55,563.877423932,0.000550539908505,-27372.0905969,Nes200_dDFE.Exponential
56,56,566.641212679,0.000546287269395,-27395.2385802,Nes200_dDFE.Exponential
57,57,563.251870629,0.00055147827855,-27425.0984583,Nes200_dDFE.Exponential
58,58,563.675661821,0.000550355021306,-27337.6846246,Nes200_dDFE.Exponential
59,59,564.879306985,0.000547361831454,-27481.3951956,Nes200_dDFE.Exponential
60,60,562.259161123,0.000554171228783,-27408.8077656,Nes200_dDFE.Exponential
61,61,568.966424349,0.000545718441891,-27447.4571272,Nes200_dDFE.Exponential
62,62,570.21547517,0.000542528676328,-27423.4649581,Nes200_dDFE.Exponential
63,63,564.054154674,0.000550645388912,-27360.0524851,Nes200_dDFE.Exponential
64,64,556.086304465,0.000563617389094,-27356.2786428,Nes200_dDFE.Exponential
65,65,561.017316914,0.000554632154472,-27411.6902515,Nes200_dDFE.Exponential
66,66,561.34116786,0.000553332426507,-27323.1833379,Nes200_dDFE.Exponential
67,67,557.114235732,0.000560503782645,-27459.6693263,Nes200_dDFE.Exponential
68,68,559.851387322,0.000556782899824,-27424.0625101,Nes200_dDFE.Exponential
69,69,567.760389108,0.000546535676185,-27412.6364454,Nes200_dDFE.Exponential
