Es,L,N1,N2,N3,NeSa1,NeSa2,Nw,b,f0,f2n,identifier,pa1,pa2,pa[0],pa[1],product1,product2,rep,sa[0],sa[1],t2,t3
-0.053661,-361298.6778,100.0,120.0,170.0,4.06676,11.8546054,107.02,0.4785,0.921073689,0.017236808,Bimodal_div100,0.030501,0.0,0.030501,0.0,0.12404024676,0.0,837,0.019,0.055385,75.0881,8.7506
-0.050968,-359758.0338,100.0,120.0,170.0,0.0010702,4.06676,107.02,0.5134,0.921073689,0.017236808,Bimodal_div100,0.0,0.031683,0.0,0.031683,0.0,0.12884715708,954,5e-06,0.019,75.0881,8.7506
-0.048568,-359794.8138,100.0,120.0,170.0,116.39538008,4.06676,107.02,0.5433,0.921073689,0.017236808,Bimodal_div100,0.0,0.032971,0.0,0.032971,0.0,0.13408514396,689,0.543802,0.019,75.0881,8.7506
-0.050312,-363682.133,100.0,120.0,170.0,4.92292,0.06785068,107.02,0.4778,0.921073689,0.017236808,Bimodal_div100,0.021808,0.0,0.021808,0.0,0.10735903936,0.0,856,0.023,0.000317,75.0881,8.7506
-0.056567,-359428.1673,100.0,120.0,170.0,0.0,4.06676,107.02,0.4521,0.921073689,0.017236808,Bimodal_div100,0.0,0.026329,0.0,0.026329,0.0,0.10707372404,805,0.0,0.019,75.0881,8.7506
-0.055075,-360238.2637,100.0,120.0,170.0,4.92292,4.93019736,107.02,0.4713,0.921073689,0.017236808,Bimodal_div100,0.00332,0.021589,0.00332,0.021589,0.0163440944,0.106438030805,630,0.023,0.023034,75.0881,8.7506
-0.050153,-359885.3143,100.0,120.0,170.0,3.85272,0.0,107.02,0.5317,0.921073689,0.017236808,Bimodal_div100,0.035938,0.0,0.035938,0.0,0.13845905136,0.0,405,0.018,0.0,75.0881,8.7506
-0.052497,-360084.1008,100.0,120.0,170.0,0.00021404,4.45716896,107.02,0.4751,0.921073689,0.017236808,Bimodal_div100,0.0,0.023655,0.0,0.023655,0.0,0.105434331749,848,1e-06,0.020824,75.0881,8.7506
-0.052994,-358407.5929,100.0,120.0,170.0,0.0,3.95267668,107.02,0.4878,0.921073689,0.017236808,Bimodal_div100,0.0,0.028767,0.0,0.028767,0.0,0.113706650054,518,0.0,0.018467,75.0881,8.7506
-0.054721,-362189.1911,100.0,120.0,170.0,4.2808,0.0,107.02,0.4508,0.921073689,0.017236808,Bimodal_div100,0.024873,0.0,0.024873,0.0,0.1064763384,0.0,219,0.02,0.0,75.0881,8.7506
