Es,L,N1,N2,N3,NeSa,Nw,b,f0,f2n,identifier,pa,pa[0],product,rep,sa[0],t2,t3
-0.12588,-146129.6044,100.0,150.0,200.0,49.2707392,139.12,1.12,0.923570793,0.017998516,Nes200 - div10,0.001508,0.001508,0.0743002747136,837,0.17708,365.4113,24.7829
-0.123997,-144010.4078,100.0,150.0,200.0,53.93431984,139.12,1.1661,0.923570793,0.017998516,Nes200 - div10,0.001392,0.001392,0.0750765732173,954,0.193841,365.4113,24.7829
-0.133747,-144541.6684,100.0,150.0,200.0,109.70224128,139.12,1.0583,0.923570793,0.017998516,Nes200 - div10,0.00071,0.00071,0.0778885913088,689,0.394272,365.4113,24.7829
-0.12875,-144308.347,100.0,150.0,200.0,278.24,139.12,1.0977,0.923570793,0.017998516,Nes200 - div10,0.000372,0.000372,0.10350528,856,1.0,365.4113,24.7829
-0.138091,-142588.0273,100.0,150.0,200.0,208.68111296,139.12,1.0472,0.923570793,0.017998516,Nes200 - div10,0.000428,0.000428,0.0893155163469,805,0.750004,365.4113,24.7829
-0.131195,-145493.0496,100.0,150.0,200.0,278.24,139.12,1.0713,0.923570793,0.017998516,Nes200 - div10,0.000384,0.000384,0.10684416,630,1.0,365.4113,24.7829
-0.127551,-145091.3807,100.0,150.0,200.0,58.7684616,139.12,1.1355,0.923570793,0.017998516,Nes200 - div10,0.001367,0.001367,0.0803364870072,405,0.211215,365.4113,24.7829
-0.130231,-144153.4999,100.0,150.0,200.0,87.19151232,139.12,1.0981,0.923570793,0.017998516,Nes200 - div10,0.000886,0.000886,0.0772516799155,848,0.313368,365.4113,24.7829
-0.123062,-146075.7372,100.0,150.0,200.0,94.59575696,139.12,1.1401,0.923570793,0.017998516,Nes200 - div10,0.000867,0.000867,0.0820145212843,518,0.339979,365.4113,24.7829
-0.131325,-145394.793,100.0,150.0,200.0,100.81024736,139.12,1.0799,0.923570793,0.017998516,Nes200 - div10,0.000811,0.000811,0.081757110609,219,0.362314,365.4113,24.7829
-0.135434,-144983.09,100.0,150.0,200.0,136.67120976,139.12,1.0413,0.923570793,0.017998516,Nes200 - div10,0.0006,0.0006,0.082002725856,655,0.491199,365.4113,24.7829
-0.136973,-145252.0694,100.0,150.0,200.0,278.23944352,139.12,1.0345,0.923570793,0.017998516,Nes200 - div10,0.000382,0.000382,0.106287467425,165,0.999998,365.4113,24.7829
