label,key,start,mid,end,pi,xsi,pi2,fwh,theta_W,tajima,KZl,sites
real,1140,1111,1125,1140,0.00787443922356,0.750498334438,0.255171123171,0.00789383138117,0.00783046881413,0.01816915826,-0.00420922108033,1539295
real,210,181,195,210,0.00771560648064,0.749727951303,0.252536330891,0.00767452536811,0.00765610780399,0.0251470495891,0.00912065607694,17064818
real,1260,1231,1245,1260,0.00797517054558,0.741567492172,0.25698552601,0.00780614640561,0.00786157246606,0.0467530460895,0.0365415903895,1032872
real,660,631,645,660,0.00776528270131,0.752792104789,0.250951128454,0.00780517355671,0.00773778347957,0.0114996334939,-0.00876274664615,4318875
real,2220,2191,2205,2220,0.00700956718023,0.743612369091,0.24992188396,0.00657782432562,0.00740256994513,-0.171505665818,0.0989537751992,63507
real,690,661,675,690,0.00790710960997,0.747509484524,0.254104094035,0.00783907625609,0.00780053294376,0.0442097354126,0.0148245310379,4238818
real,1770,1741,1755,1770,0.00769209233219,0.745196906509,0.269689984565,0.00781980241849,0.00769601055138,-0.00164691127821,-0.0281965040481,309565
real,540,511,525,540,0.00777361354233,0.75172463512,0.250455096371,0.00774978921586,0.00778286151308,-0.00384494813155,0.00520317377934,6227375
real,2400,2371,2385,2400,0.00800771313361,0.744368629865,0.267159509731,0.00821658057156,0.00764424412455,0.153419250701,-0.0462967458021,35817
real,810,781,795,810,0.00782477388186,0.751573229363,0.249847654978,0.00781154807985,0.00775706971546,0.0282419159399,0.00289803533706,3159501
real,930,901,915,930,0.00793736557972,0.743348428977,0.25561703186,0.00779874917743,0.0078358523743,0.0419187525406,0.0300678824143,2376717
real,2010,1981,1995,2010,0.0083065612907,0.743207637805,0.25341749124,0.00820010330327,0.00790509889001,0.164201742848,0.022870562766,123226
real,2910,2881,2895,2910,0.00650967595925,0.831092069052,0.156999789543,0.00703447195308,0.00697595942677,-0.212709674732,-0.125529117738,6639
real,2460,2431,2445,2460,0.00751099984928,0.760420195059,0.209088389075,0.00689702038208,0.0080159395383,-0.203085339903,0.129664569667,26573
real,990,961,975,990,0.00791855665844,0.749854242385,0.252473236275,0.00790868989332,0.00783850529416,0.0330447933655,0.00213949367433,1907994
real,2850,2821,2835,2850,0.00787130494881,0.811620289855,0.297213126749,0.0119757814862,0.00729379371506,0.25234394809,-0.940536943969,6980
real,2700,2671,2685,2700,0.00726659296482,0.719549149098,0.319251313231,0.00750325628141,0.00732160282822,-0.0238063926836,-0.0536785695303,5000
real,120,91,105,120,0.0076098072798,0.751935041395,0.253122629647,0.00764734131043,0.00762197996232,-0.00516781942526,-0.00837048280305,28950639
real,1950,1921,1935,1950,0.00842919169148,0.755605295295,0.253074503702,0.00869059546007,0.00813548006477,0.116743126038,-0.0545749836311,141189
real,2550,2521,2535,2550,0.00839606312494,0.699276737259,0.161105676693,0.0055865723457,0.00797952894886,0.168614241141,0.597297445011,55501
real,60,31,45,60,0.0075178764494,0.749735065892,0.254120811814,0.00750587231336,0.00751143659946,0.0027742291036,0.00271645075305,56576622
real,2490,2461,2475,2490,0.00723146787892,0.746704882654,0.204668757752,0.00633279845484,0.00769988528495,-0.195809357113,0.197220072604,19128
real,3030,3001,3015,3030,0.00787767472467,0.756753938726,0.248205292457,0.00804091351832,0.00780788001603,0.0289166584524,-0.0355253902763,332040
real,2310,2281,2295,2310,0.00815700327206,0.74257187489,0.264026658151,0.00813341704897,0.00802548858338,0.0528764163657,0.00497983271073,34455
real,1410,1381,1395,1410,0.00787954350827,0.750580429818,0.255486405231,0.00793506539597,0.00786128426711,0.00751485097106,-0.0120032750033,733037
real,2790,2761,2775,2790,0.00822455276382,0.702236482796,0.26649216771,0.00690509547739,0.00776430439458,0.188043939322,0.282574765004,5000
