NeSa,S_d,b,model,number,pa,product
6.62132,-46.16678,0.9991,Exp.Nes10_dDFE.Exponential,379,0.00456,0.0301932192
5.29012,-48.39735,0.99505,Exp.Nes10_dDFE.Exponential,215,0.00658,0.0348089896
10.41244,-46.81955,0.9874,Exp.Nes10_dDFE.Exponential,6,0.00324,0.0337363056
2.60762,-41.99372,1.16544,Exp.Nes10_dDFE.Exponential,986,0.01317,0.0343423554
8.67738,-43.97885,1.0369,Exp.Nes10_dDFE.Exponential,770,0.00396,0.0343624248
4.64039,-46.22884,1.00517,Exp.Nes10_dDFE.Exponential,985,0.0062,0.028770418
8.58689,-45.41469,1.01554,Exp.Nes10_dDFE.Exponential,343,0.00404,0.0346910356
6.08421,-45.08761,1.04189,Exp.Nes10_dDFE.Exponential,265,0.00609,0.0370528389
5.52123,-44.42628,1.01126,Exp.Nes10_dDFE.Exponential,994,0.00591,0.0326304693
3.8636,-45.69568,1.0276,Exp.Nes10_dDFE.Exponential,703,0.00832,0.032145152
7.90908,-44.39632,1.01132,Exp.Nes10_dDFE.Exponential,298,0.00417,0.0329808636
12.92518,-44.47832,1.01172,Exp.Nes10_dDFE.Exponential,957,0.00242,0.0312789356
11.02675,-43.68232,1.01079,Exp.Nes10_dDFE.Exponential,723,0.00301,0.0331905175
4.67235,-40.71044,1.14223,Exp.Nes10_dDFE.Exponential,473,0.00839,0.0392010165
8.09898,-43.82514,1.05179,Exp.Nes10_dDFE.Exponential,101,0.00423,0.0342586854
6.2629,-45.45339,1.01187,Exp.Nes10_dDFE.Exponential,573,0.00521,0.032629709
4.27425,-44.22031,1.07743,Exp.Nes10_dDFE.Exponential,813,0.00858,0.036673065
5.57452,-46.95103,1.01141,Exp.Nes10_dDFE.Exponential,336,0.00575,0.03205349
3.69316,-44.60939,1.04822,Exp.Nes10_dDFE.Exponential,502,0.00886,0.0327213976
6.33077,-45.96967,1.00032,Exp.Nes10_dDFE.Exponential,658,0.00519,0.0328566963
2.9381,-40.04725,1.19877,Exp.Nes10_dDFE.Exponential,674,0.01215,0.035697915
3.98241,-43.97225,1.07467,Exp.Nes10_dDFE.Exponential,572,0.00783,0.0311822703
2.96327,-46.77759,1.09817,Exp.Nes10_dDFE.Exponential,282,0.01236,0.0366260172
3.65514,-47.46435,1.00938,Exp.Nes10_dDFE.Exponential,897,0.00866,0.0316535124
3.43898,-43.66688,1.13035,Exp.Nes10_dDFE.Exponential,380,0.01122,0.0385853556
41.11284,-47.90952,0.92182,Exp.Nes10_dDFE.Exponential,888,0.00061,0.0250788324
3.15536,-43.27227,1.10609,Exp.Nes10_dDFE.Exponential,266,0.01143,0.0360657648
7.37691,-42.93188,1.07085,Exp.Nes10_dDFE.Exponential,59,0.00488,0.0359993208
9.31042,-46.26972,0.99956,Exp.Nes10_dDFE.Exponential,700,0.00349,0.0324933658
2.52289,-40.60039,1.22963,Exp.Nes10_dDFE.Exponential,661,0.01519,0.0383226991
7.50585,-46.31913,0.98855,Exp.Nes10_dDFE.Exponential,604,0.00415,0.0311492775
2.94585,-45.71687,1.06466,Exp.Nes10_dDFE.Exponential,615,0.01117,0.0329051445
5.39697,-48.40211,1.01147,Exp.Nes10_dDFE.Exponential,967,0.00601,0.0324357897
3.87944,-41.49308,1.12257,Exp.Nes10_dDFE.Exponential,884,0.00942,0.0365443248
1.86986,-41.63089,1.2451,Exp.Nes10_dDFE.Exponential,95,0.01905,0.035620833
6.40045,-39.2065,1.15801,Exp.Nes10_dDFE.Exponential,880,0.00577,0.0369305965
3.88639,-45.22523,1.05492,Exp.Nes10_dDFE.Exponential,586,0.00891,0.0346277349
7.75797,-46.2838,0.97436,Exp.Nes10_dDFE.Exponential,936,0.00388,0.0301009236
10.72346,-49.01054,0.92779,Exp.Nes10_dDFE.Exponential,475,0.00265,0.028417169
5.83532,-47.26559,0.97757,Exp.Nes10_dDFE.Exponential,381,0.00534,0.0311606088
12.61357,-48.93784,0.92799,Exp.Nes10_dDFE.Exponential,787,0.00225,0.0283805325
11.29913,-42.67026,1.07082,Exp.Nes10_dDFE.Exponential,578,0.00345,0.0389819985
5.15537,-46.28742,1.0124,Exp.Nes10_dDFE.Exponential,456,0.00634,0.0326850458
3.74347,-42.85592,1.06917,Exp.Nes10_dDFE.Exponential,314,0.00843,0.0315574521
4.2456,-37.86615,1.25232,Exp.Nes10_dDFE.Exponential,167,0.00964,0.040927584
9.95589,-45.34222,1.01088,Exp.Nes10_dDFE.Exponential,362,0.00325,0.0323566425
4.67177,-46.64969,1.01194,Exp.Nes10_dDFE.Exponential,269,0.0076,0.035505452
4.7915,-45.70245,1.0002,Exp.Nes10_dDFE.Exponential,561,0.00686,0.03286969
12.1516,-44.91385,0.99922,Exp.Nes10_dDFE.Exponential,129,0.00247,0.030014452
4.05919,-44.45095,1.07262,Exp.Nes10_dDFE.Exponential,463,0.00843,0.0342189717
