NeSa,S_d,b,model,number,pa,product
1.88913,-42.64758,1.09499,Exp.Nes10_dDFE.Exponential_div10/,379,0.00734,0.0138662142
3.01273,-46.37873,0.97755,Exp.Nes10_dDFE.Exponential_div10/,215,0.00237,0.0071401701
6.77955,-45.7139,0.96626,Exp.Nes10_dDFE.Exponential_div10/,6,0.00102,0.006915141
59.15525,-46.40695,0.95604,Exp.Nes10_dDFE.Exponential_div10/,986,0.00013,0.0076901825
0.25002,-45.38438,1.05797,Exp.Nes10_dDFE.Exponential_div10/,770,0.01227,0.0030677454
6.04876,-44.44149,1.01083,Exp.Nes10_dDFE.Exponential_div10/,985,0.0016,0.009678016
5.09393,-49.83743,0.91694,Exp.Nes10_dDFE.Exponential_div10/,343,0.00097,0.0049411121
0.11711,-43.20194,1.12612,Exp.Nes10_dDFE.Exponential_div10/,265,0.01708,0.0020002388
2.78574,-42.18519,1.05403,Exp.Nes10_dDFE.Exponential_div10/,994,0.004,0.01114296
1.02074,-45.20752,1.01192,Exp.Nes10_dDFE.Exponential_div10/,703,0.0057,0.005818218
0.16507,-48.86436,0.94845,Exp.Nes10_dDFE.Exponential_div10/,298,0.0074,0.001221518
5.52027,-45.78572,0.9744,Exp.Nes10_dDFE.Exponential_div10/,957,0.00112,0.0061827024
0.84532,-45.38468,0.99962,Exp.Nes10_dDFE.Exponential_div10/,723,0.00598,0.0050550136
1.15841,-45.31032,1.04793,Exp.Nes10_dDFE.Exponential_div10/,473,0.00873,0.0101129193
0.10366,-48.8187,0.94411,Exp.Nes10_dDFE.Exponential_div10/,101,0.00597,0.0006188502
8.40295,-45.23845,1.01246,Exp.Nes10_dDFE.Exponential_div10/,573,0.00144,0.012100248
0.89356,-45.19167,1.07309,Exp.Nes10_dDFE.Exponential_div10/,813,0.01117,0.0099810652
0.17437,-47.58691,0.99509,Exp.Nes10_dDFE.Exponential_div10/,336,0.01096,0.0019110952
1.98918,-46.53302,1.00526,Exp.Nes10_dDFE.Exponential_div10/,502,0.00444,0.0088319592
2.94634,-44.11547,1.02788,Exp.Nes10_dDFE.Exponential_div10/,658,0.00393,0.0115791162
68.65665,-47.29514,0.95598,Exp.Nes10_dDFE.Exponential_div10/,674,0.00012,0.008238798
7.21928,-46.33909,0.98422,Exp.Nes10_dDFE.Exponential_div10/,572,0.00142,0.0102513776
52.86054,-46.86352,0.9483,Exp.Nes10_dDFE.Exponential_div10/,282,0.00016,0.0084576864
47.12625,-47.12616,0.96697,Exp.Nes10_dDFE.Exponential_div10/,897,0.00016,0.0075402
6.40048,-46.8869,0.95671,Exp.Nes10_dDFE.Exponential_div10/,380,0.00109,0.0069765232
0.10717,-46.71372,0.96631,Exp.Nes10_dDFE.Exponential_div10/,888,0.00704,0.0007544768
0.35674,-46.13158,1.01716,Exp.Nes10_dDFE.Exponential_div10/,266,0.01106,0.0039455444
0.12449,-46.59359,0.99286,Exp.Nes10_dDFE.Exponential_div10/,59,0.0102,0.001269798
0.17126,-46.45972,0.99728,Exp.Nes10_dDFE.Exponential_div10/,700,0.00981,0.0016800606
78.84123,-48.47641,0.9025,Exp.Nes10_dDFE.Exponential_div10/,661,5e-05,0.0039420615
0.39946,-48.52875,1.00888,Exp.Nes10_dDFE.Exponential_div10/,604,0.01194,0.0047695524
0.09364,-45.00538,0.93187,Exp.Nes10_dDFE.Exponential_div10/,615,0.00037,3.46468e-05
1.11398,-45.91282,1.00697,Exp.Nes10_dDFE.Exponential_div10/,967,0.00708,0.0078869784
3.1,-44.61439,1.00525,Exp.Nes10_dDFE.Exponential_div10/,884,0.00341,0.010571
0.03876,-44.45145,1.12049,Exp.Nes10_dDFE.Exponential_div10/,95,0.0189,0.000732564
10.67951,-44.23656,1.00916,Exp.Nes10_dDFE.Exponential_div10/,880,0.00097,0.0103591247
2.60119,-46.73408,1.00931,Exp.Nes10_dDFE.Exponential_div10/,586,0.00449,0.0116793431
1.74084,-45.78167,1.00032,Exp.Nes10_dDFE.Exponential_div10/,936,0.00424,0.0073811616
0.96279,-46.48205,1.0109,Exp.Nes10_dDFE.Exponential_div10/,475,0.00767,0.0073845993
43.83886,-43.06037,1.01523,Exp.Nes10_dDFE.Exponential_div10/,381,0.00024,0.0105213264
0.79719,-42.17277,1.12196,Exp.Nes10_dDFE.Exponential_div10/,787,0.01138,0.0090720222
1.28414,-44.09019,1.05303,Exp.Nes10_dDFE.Exponential_div10/,578,0.00732,0.0093999048
1.60523,-46.66681,1.01222,Exp.Nes10_dDFE.Exponential_div10/,456,0.00604,0.0096955892
13.34748,-44.23013,1.01034,Exp.Nes10_dDFE.Exponential_div10/,314,0.00086,0.0114788328
7.81879,-43.52522,1.01772,Exp.Nes10_dDFE.Exponential_div10/,167,0.00136,0.0106335544
5.27133,-45.19766,0.99491,Exp.Nes10_dDFE.Exponential_div10/,362,0.0019,0.010015527
5.14472,-42.61388,1.06415,Exp.Nes10_dDFE.Exponential_div10/,269,0.00284,0.0146110048
0.19635,-47.85276,0.99894,Exp.Nes10_dDFE.Exponential_div10/,561,0.01142,0.002242317
1.2113,-41.23751,1.12051,Exp.Nes10_dDFE.Exponential_div10/,129,0.00828,0.010029564
10.90544,-43.37284,1.00939,Exp.Nes10_dDFE.Exponential_div10/,463,0.00083,0.0090515152
0.85083,-43.82867,1.05839,Exp.Nes10_dDFE.Exponential_div10/,914,0.00807,0.0068661981
1.92016,-43.03949,1.09631,Exp.Nes10_dDFE.Exponential_div10/,134,0.00709,0.0136139344
20.86083,-45.1368,0.98726,Exp.Nes10_dDFE.Exponential_div10/,154,0.0005,0.010430415
1.55145,-40.41519,1.11934,Exp.Nes10_dDFE.Exponential_div10/,726,0.0074,0.01148073
0.11998,-41.77008,1.26587,Exp.Nes10_dDFE.Exponential_div10/,953,0.02405,0.002885519
3.04021,-44.43459,1.00326,Exp.Nes10_dDFE.Exponential_div10/,864,0.00275,0.0083605775
2.42638,-45.3321,1.01014,Exp.Nes10_dDFE.Exponential_div10/,828,0.00385,0.009341563
0.12488,-46.64434,0.9281,Exp.Nes10_dDFE.Exponential_div10/,356,0.00051,6.36888e-05
0.29317,-46.49953,1.01024,Exp.Nes10_dDFE.Exponential_div10/,672,0.0094,0.002755798
75.09434,-47.49574,0.94908,Exp.Nes10_dDFE.Exponential_div10/,74,0.00011,0.0082603774
1.2047,-44.89138,1.03372,Exp.Nes10_dDFE.Exponential_div10/,613,0.00704,0.008481088
1.18758,-43.2815,1.08966,Exp.Nes10_dDFE.Exponential_div10/,313,0.00881,0.0104625798
1.13308,-46.15874,1.02201,Exp.Nes10_dDFE.Exponential_div10/,76,0.00691,0.0078295828
4.63143,-42.94533,1.01612,Exp.Nes10_dDFE.Exponential_div10/,293,0.00208,0.0096333744
0.01384,-41.48999,1.12043,Exp.Nes10_dDFE.Exponential_div10/,425,0.01603,0.0002218552
0.60675,-44.03224,1.02878,Exp.Nes10_dDFE.Exponential_div10/,616,0.00754,0.004574895
37.65421,-46.71722,0.95483,Exp.Nes10_dDFE.Exponential_div10/,756,0.00018,0.0067777578
1.85816,-41.52334,1.12925,Exp.Nes10_dDFE.Exponential_div10/,137,0.00801,0.0148838616
0.15159,-45.48559,1.01085,Exp.Nes10_dDFE.Exponential_div10/,717,0.01088,0.0016492992
0.44455,-42.93304,1.16108,Exp.Nes10_dDFE.Exponential_div10/,305,0.01592,0.007077236
2.46375,-41.67275,1.12944,Exp.Nes10_dDFE.Exponential_div10/,538,0.00637,0.0156940875
31.60702,-44.19103,0.98319,Exp.Nes10_dDFE.Exponential_div10/,172,0.00031,0.0097981762
1.46975,-43.27499,1.06436,Exp.Nes10_dDFE.Exponential_div10/,276,0.00697,0.0102441575
0.08254,-41.20532,1.2159,Exp.Nes10_dDFE.Exponential_div10/,39,0.02334,0.0019264836
0.14231,-44.7398,1.08207,Exp.Nes10_dDFE.Exponential_div10/,187,0.01521,0.0021645351
0.12057,-44.1388,1.08473,Exp.Nes10_dDFE.Exponential_div10/,176,0.01448,0.0017458536
0.136,-47.66842,0.93893,Exp.Nes10_dDFE.Exponential_div10/,690,0.00385,0.0005236
1.02306,-46.84499,1.01095,Exp.Nes10_dDFE.Exponential_div10/,120,0.00767,0.0078468702
1.57271,-44.81651,1.0017,Exp.Nes10_dDFE.Exponential_div10/,947,0.00441,0.0069356511
13.01871,-43.68812,0.98729,Exp.Nes10_dDFE.Exponential_div10/,772,0.00067,0.0087225357
6.40048,-44.83082,1.00584,Exp.Nes10_dDFE.Exponential_div10/,422,0.0015,0.00960072
0.29988,-41.21002,1.24273,Exp.Nes10_dDFE.Exponential_div10/,793,0.02136,0.0064054368
0.24649,-41.41285,1.23717,Exp.Nes10_dDFE.Exponential_div10/,860,0.02028,0.0049988172
5.33715,-41.31196,1.03269,Exp.Nes10_dDFE.Exponential_div10/,153,0.002,0.0106743
0.17802,-47.92293,0.92263,Exp.Nes10_dDFE.Exponential_div10/,259,0.00091,0.0001619982
0.89418,-47.16439,1.01097,Exp.Nes10_dDFE.Exponential_div10/,906,0.00861,0.0076988898
11.64734,-43.96619,0.99894,Exp.Nes10_dDFE.Exponential_div10/,472,0.00094,0.0109484996
0.11059,-44.76376,1.08582,Exp.Nes10_dDFE.Exponential_div10/,817,0.0161,0.001780499
2.80284,-44.43134,1.02232,Exp.Nes10_dDFE.Exponential_div10/,497,0.00365,0.010230366
8.6774,-43.37938,1.0191,Exp.Nes10_dDFE.Exponential_div10/,310,0.00136,0.011801264
0.99825,-44.67568,1.03631,Exp.Nes10_dDFE.Exponential_div10/,755,0.00739,0.0073770675
2.82953,-44.01396,1.04257,Exp.Nes10_dDFE.Exponential_div10/,656,0.00484,0.0136949252
1.35774,-44.76762,1.01801,Exp.Nes10_dDFE.Exponential_div10/,789,0.00496,0.0067343904
6.71667,-44.92281,1.01175,Exp.Nes10_dDFE.Exponential_div10/,162,0.00203,0.0136348401
