NeSa,S_d,b,model,number,pa,product
98.76795,-42.98806,0.92392,Exp.Nes100_dDFE.Exponential/,379,0.00271,0.2676611445
76.50007,-41.1073,1.01026,Exp.Nes100_dDFE.Exponential/,215,0.00372,0.2845802604
75.06313,-43.91729,0.91397,Exp.Nes100_dDFE.Exponential/,6,0.00364,0.2732297932
75.88401,-40.82256,1.00525,Exp.Nes100_dDFE.Exponential/,986,0.00366,0.2777354766
89.38986,-38.87762,1.02049,Exp.Nes100_dDFE.Exponential/,770,0.00313,0.2797902618
99.87871,-43.79887,0.90993,Exp.Nes100_dDFE.Exponential/,985,0.00264,0.2636797944
90.87115,-41.58356,0.96244,Exp.Nes100_dDFE.Exponential/,343,0.00303,0.2753395845
99.48676,-41.03126,0.95555,Exp.Nes100_dDFE.Exponential/,265,0.00272,0.2706039872
84.72702,-39.25496,0.98291,Exp.Nes100_dDFE.Exponential/,994,0.00319,0.2702791938
75.06267,-42.67732,0.97419,Exp.Nes100_dDFE.Exponential/,703,0.00365,0.2739787455
84.61053,-43.53997,0.92654,Exp.Nes100_dDFE.Exponential/,298,0.00313,0.2648309589
99.95025,-43.40306,0.91853,Exp.Nes100_dDFE.Exponential/,957,0.00272,0.27186468
84.557,-43.37278,0.93219,Exp.Nes100_dDFE.Exponential/,723,0.00326,0.27565582
92.1059,-41.29662,1.0034,Exp.Nes100_dDFE.Exponential/,473,0.00302,0.278159818
99.79522,-43.74054,0.90432,Exp.Nes100_dDFE.Exponential/,101,0.00263,0.2624614286
74.98141,-39.3255,0.99965,Exp.Nes100_dDFE.Exponential/,573,0.00377,0.2826799157
97.74569,-40.33387,0.95452,Exp.Nes100_dDFE.Exponential/,813,0.00268,0.2619584492
75.75996,-42.87507,0.92667,Exp.Nes100_dDFE.Exponential/,336,0.00363,0.2750086548
98.79557,-45.61605,0.8818,Exp.Nes100_dDFE.Exponential/,502,0.00263,0.2598323491
62.20128,-41.41953,0.9772,Exp.Nes100_dDFE.Exponential/,658,0.00437,0.2718195936
99.13893,-42.37334,0.94005,Exp.Nes100_dDFE.Exponential/,674,0.00274,0.2716406682
95.42722,-43.35384,0.92657,Exp.Nes100_dDFE.Exponential/,572,0.00285,0.271967577
56.69185,-41.53055,0.95656,Exp.Nes100_dDFE.Exponential/,282,0.00472,0.267585532
74.07484,-43.61555,0.92386,Exp.Nes100_dDFE.Exponential/,897,0.00365,0.270373166
73.48343,-40.25106,1.00035,Exp.Nes100_dDFE.Exponential/,380,0.00373,0.2740931939
99.83392,-45.37368,0.90203,Exp.Nes100_dDFE.Exponential/,888,0.0027,0.269551584
98.94015,-43.51769,0.92816,Exp.Nes100_dDFE.Exponential/,266,0.00273,0.2701066095
59.53816,-41.04955,1.00039,Exp.Nes100_dDFE.Exponential/,59,0.00451,0.2685171016
75.06313,-40.95266,0.95112,Exp.Nes100_dDFE.Exponential/,700,0.00361,0.2709778993
73.4321,-38.42769,1.0017,Exp.Nes100_dDFE.Exponential/,661,0.00371,0.272433091
93.99151,-42.8724,0.94808,Exp.Nes100_dDFE.Exponential/,604,0.00286,0.2688157186
91.21597,-39.75216,0.97834,Exp.Nes100_dDFE.Exponential/,615,0.00301,0.2745600697
99.70854,-43.81599,0.90991,Exp.Nes100_dDFE.Exponential/,967,0.0027,0.269213058
72.62204,-46.05361,0.89176,Exp.Nes100_dDFE.Exponential/,884,0.0037,0.268701548
99.91374,-47.39342,0.86546,Exp.Nes100_dDFE.Exponential/,95,0.00261,0.2607748614
74.9222,-39.53065,0.99938,Exp.Nes100_dDFE.Exponential/,880,0.00362,0.271218364
56.74053,-41.15813,1.0113,Exp.Nes100_dDFE.Exponential/,586,0.00484,0.2746241652
93.32883,-41.85147,0.97562,Exp.Nes100_dDFE.Exponential/,936,0.00288,0.2687870304
